;date;title;summary
0;Aug. 1, 2020;ByteDance Said to Offer to Sell TikTok’s U.S. Operations;The Trump administration has said the video app poses security concerns because of its Chinese ownership.
1;Aug. 2, 2020;The Week in Business: Getting Rich Off the Pandemic;Tech executives got grilled in Washington, but their wallets got the last laugh.
2;Aug. 2, 2020;Microsoft Says It’ll Continue Pursuit of TikTok;The announcement came after the company consulted with President Trump, who has threatened to ban the app and expressed national security concerns about it in recent weeks.
3;Aug. 3, 2020;In Showdown Between China and the West, HSBC Gets Caught in the Middle;Global businesses are increasingly being asked to pick political and legal sides in the confrontation between the world’s two biggest economies.
4;Aug. 3, 2020;With TikTok, ‘Uncool’ Microsoft Aims for the Love of Tweens;Buying one of the largest and most influential social networks in the country could change the perception of the tech giant.
5;Aug. 3, 2020;What Would Microsoft Do With TikTok?;The potential blockbuster deal could go a few different ways.
6;Aug. 3, 2020;The business news to watch in the week ahead.;By Jason Karaian
7;Aug. 3, 2020;How TikTok’s Owner Tried, and Failed, to Cross the U.S.-China Divide;The founder of ByteDance, Zhang Yiming, dreamed of building a global tech company based in China. Then the geopolitical reality set in.
8;Aug. 3, 2020;Google Pixel 4A Review: At $350, a Win for Those on a Budget;Yes, you can now pay less than $399 for a smartphone — and it won’t stink.
9;Aug. 3, 2020;The Strange Saga of TikTok;The chief executive of a big tech company negotiated directly with the U.S. president over an app. Say what?
10;Aug. 4, 2020;Google faces an E.U. investigation into its Fitbit acquisition.;By Adam Satariano
11;Aug. 4, 2020;Google Faces European Inquiry Into Fitbit Acquisition;Authorities are investigating how Google will use health and wellness data collected from Fitbit’s fitness tracking devices.
12;Aug. 4, 2020;When Taming Big Tech Goes Wrong;What the United States can learn from Europe’s efforts to restrain America’s tech giants.
13;Aug. 4, 2020;Star Technologist Who Crossed Google Sentenced to 18 Months in Prison;Anthony Levandowski, a onetime star Silicon Valley engineer of self-driving cars, had pleaded guilty to stealing trade secrets.
14;Aug. 5, 2020;Racial Injustice and Corporate America;Advocates for racial equality have long pointed out the uneven playing field in the business world. What can companies do to fix it?
15;Aug. 5, 2020;The Tech You Love;GPS, Spotify, Pokémon Go: Our readers tell us about the tech that makes their lives better.
16;Aug. 6, 2020;A Prominent News Media Critic Is Starting a News Outlet of His Own;For years, media insiders turned to Ken Doctor for advice. Now he plans to compete against a hedge-fund-owned paper in Santa Cruz.
17;Aug. 6, 2020;The Cult of the Tech Genius;It’s time to rethink how we treat and enable these brilliant — but damaging — tech personalities.
18;Aug. 7, 2020;Facebook Gaming Finally Clears Apple Hurdle, Arriving in App Store;Saying Apple forced changes during months of rejection, the social network is releasing a version for iPhone and iPad users today.
19;Aug. 7, 2020;Targeting WeChat, Trump Takes Aim at China’s Bridge to the World;The all-purpose app, which the administration is restricting along with TikTok, is how many Chinese living abroad stay in touch with one another, and with people back home.
20;Aug. 7, 2020;Trump takes aim at WeChat, China’s bridge to the world.;By Paul Mozur and Raymond Zhong
21;Aug. 7, 2020;At Talkspace, Start-Up Culture Collides With Mental Health Concerns;The therapy-by-text company made burner phones available for fake reviews and doesn’t adequately respect client privacy, former employees say.
22;Aug. 7, 2020;Trump Swings Against TikTok, WeChat;President Trump signed executive orders against two popular China-based apps. Let me try to explain.
23;Aug. 7, 2020;Trump’s Orders on WeChat and TikTok Are Uncertain. That May Be the Point.;The restrictions on the two Chinese-owned apps followed a familiar model for other policy announcements on China from the Trump administration.
24;Aug. 9, 2020;The Wallets of Wall Street Are With Joe Biden, if Not the Hearts;Through donations, finance executives played a critical role in helping Joe Biden turn his campaign around. They’ve mostly grown to like him, if not love him.
25;Aug. 9, 2020;How Pro-Trump Forces Work the Refs in Silicon Valley;The new referees in American politics are Facebook, Google and Twitter, and they would be wise to pay attention to lessons the old media tried to learn.
26;Aug. 10, 2020;Big Tech Makes Inroads With the Biden Campaign;While Joe Biden has criticized the largest tech companies, his campaign and transition teams have welcomed allies of Facebook, Google, Amazon and Apple onto its staff and policy groups.
27;Aug. 10, 2020;Big Finance, Big Tech and Joe Biden;Although they haven’t necessarily fallen in love with the Democratic presidential candidate, many on Wall Street and in Silicon Valley are falling in line.
28;Aug. 10, 2020;After a Flop, Amazon Makes Another Foray Into Video Games;Amazon said it was rebranding Twitch Prime, in another attempt to crack the video game market after a big-budget game effort failed.
29;Aug. 10, 2020;The Global Internet Is a Mirage;The TikTok deal risks fracturing the internet. But let’s be honest, it’s always been fractured.
30;Aug. 10, 2020;C.E.O.s Pledge to Hire 100,000 Low-Income and Minority New Yorkers;A new nonprofit, the New York Jobs C.E.O. Council, will work with universities, the city and other groups to create new curriculums and apprenticeships over the next decade.
31;Aug. 11, 2020;On McDonald’s and Morality;The fast-food giant’s suit against its former C.E.O. may prompt other companies to review their pay and severance policies.
32;Aug. 11, 2020;Pinterest Accused of Gender Bias in Suit by Former No. 2 Executive;Françoise Brougher, Pinterest’s former chief operating officer, said she was fired after speaking up about mistreatment.
33;Aug. 12, 2020;Sumner Redstone, Hollywood Brawler;He embodied the impolite era of the media mogul, a time before streaming, when movie theaters and cable TV were all the rage.
34;Aug. 12, 2020;Google, Facebook and Others Broaden Group to Secure U.S. Election;More tech companies met with government agencies on Wednesday to fight disinformation on social media.
35;Aug. 13, 2020;The Three Abductions of N.: How Corporate Kidnapping Works;When estranged parents take children across borders, a shadowy industry of “recovery agents” can get them back — for a fee.
36;Aug. 13, 2020;Check Out These Charts;A quick spin through the markets.
37;Aug. 13, 2020;A playbook for combating QAnon;QAnon can no longer be ignored. What internet companies could do to stop its spread.
