;date;title;summary
0;Sept. 1, 2015;European Firms Team Up to Target Google in Civil Lawsuits;A law firm and public affairs company have created an online platform to help European companies sue Google for financial damages from anticompetitive practices.
1;Sept. 1, 2015;Marissa Mayer of Yahoo Says She’s Pregnant With Twins;Ms. Mayer said Monday that her twins were due in December and that she planned to work throughout her pregnancy.
2;Sept. 1, 2015;Daily Report: Hotel Chains Get Tough With Travel Websites;For years, hotels have grudgingly let websites make arrangements for their customers. But now they are fighting back with customer perks and outreach to regulators to keep the sites from getting too powerful.
3;Sept. 1, 2015;Google’s Driverless Cars Run Into Problem: Cars With Drivers;The cars have been involved in a smattering of minor accidents because they observe traffic laws to the letter — and people don’t.
4;Sept. 1, 2015;Google Antitrust Inquiries Spread Over Globe, With India the Latest Problem;While Google’s biggest regulatory challenge remains in Europe, authorities around the world are investigating its practices, with a report from India’s competition commission its latest problem.
5;Sept. 1, 2015;With Technology, Avoiding Both Ads and the Blockers;Some predict that ad blockers will lead to an arms race among publishers, advertisers and consumers on how to outdo each other.
6;Sept. 2, 2015;Scrutiny of Security Start-Ups May Signal Shift in Venture Funding;Cybersecurity companies have had an easy time raising money in Silicon Valley over the last few years. But investors are starting to ask about profit and sustainability.
7;Sept. 2, 2015;Daily Report: Google’s Driverless Car Learns to Navigate an Imperfect World;Google’s self-driving cars continue to do the right thing in road tests. Unfortunately, the same can’t be said of humans.
8;Sept. 2, 2015;Understanding Mac OS X Disk Permissions, and How to Repair Them;With time and use, actions like installing or uninstalling programs may inadvertently alter these permissions from their initial state, but there’s a fix to restore them.
9;Sept. 2, 2015;Competitors Accuse Google of Using Search to Diminish Apps;In November, Google will start penalizing the search rankings of sites that show “please install our app” ads, a move that rivals say has less to do with providing users with a good experience and more to do with protecting Google’s business.
10;Sept. 2, 2015;Video Feature: ‘Universal’ Apps for Windows 10 That Call Many Gadgets Home;As a mobile version of Windows 10 awaits release, universal versions of some apps, including Twitter and Photoshop, have already been unveiled.
11;Sept. 3, 2015;Silicon Valley, Seeking Diversity, Focuses on Blacks;The acute underrepresentation of blacks in the technology industry has given rise to a flurry of initiatives in Silicon Valley to improve the situation.
12;Sept. 4, 2015;Daily Report: A Push for Diversity in the Tech Industry;The lack of people of color in the tech industry is by now well documented. What is not as well known is what some people are trying to do about it.
13;Sept. 5, 2015;A Basketball Arena Battles for San Francisco’s Heart;The owners of the Golden State Warriors are offering to foot the bill for a new 18,000-seat entertainment complex in San Francisco, but some in the city are crying foul.
14;Sept. 5, 2015;A Sharing Economy Where Teachers Win;On TeachersPayTeachers, some educators have been able to convert hours of class preparation into thousands of dollars, and 12 have become millionaires.
15;Sept. 5, 2015;Mike and Quentin’s Week in Tech: Amazon’s Offline Game Changer;The online marketplace will now allow its Prime members to download some movies and TV shows to iOS and Android devices to watch programming offline.
