;date;title;summary
0;June 30, 2021;Judge Blocks Florida Law Regulating Social Media Companies;It would fine companies like Facebook, YouTube and Twitter if they permanently bar candidates for office in the state.
1;July 1, 2021;‘Crucial Time’ for Cloud Gaming, Which Wants to Change How You Play;Facebook, Microsoft and Amazon are ramping up offerings on a platform that lets people enjoy high-quality games on any device.
2;July 1, 2021;U.S. Proposal for 15% Global Minimum Tax Wins Support From 130 Countries;A 15 percent minimum tax rate would generate $150 billion in additional tax revenue each year, the Organization for Economic Cooperation and Development said.
3;July 1, 2021;Why Didn’t Microsoft Die?;Microsoft made epic mistakes for years, but it’s again one of the tech world’s superstars.
4;July 2, 2021;Amazon After Bezos;The founder of the e-commerce giant steps down as C.E.O. in two days. Then what?
5;July 2, 2021;Can Food Delivery Work for Everyone?;How restaurants and delivery apps like Uber Eats and DoorDash are thinking about post-pandemic home delivery.
6;July 5, 2021;American Internet Giants Hit Back at Hong Kong Doxxing Law;A trade group representing Google, Facebook, Amazon, Apple and others said changes to a Hong Kong privacy law could stop firms from providing services in the city.
7;July 6, 2021;Work at Home or the Office? Either Way, There’s a Start-Up for That.;As more Americans return to an office a few days a week, start-ups providing tools for hybrid work are trying to cash in.
8;July 6, 2021;China Escalates Its Fight Against Big Tech;The latest targets include homegrown giants like Didi Chuxing.
9;July 6, 2021;We Need Remote Work for Everyone;The ability to work online shouldn’t be a nice-to-have for a select few, but an option for all.
10;July 7, 2021;The Billionaires Have Touched Down in Sun Valley;Top officials from business, government and more have returned to Allen & Company’s annual gathering of power brokers.
11;July 7, 2021;Taking Microsoft’s Windows 11 for a Test Drive;A mobile-inspired overhaul makes Microsoft’s newest operating system feel equally modern and unoriginal.
12;July 7, 2021;Dozens of States Sue Google Over App Store Fees;Software developers have accused the company of harsh policies and taking a large cut of financial transactions in their apps.
13;July 8, 2021;Ireland’s Days as a Tax Haven May Be Ending, but Not Without a Fight;For decades, multinationals moved to Ireland for its low taxes. A new global tax plan has put Dublin on the defensive.
14;July 8, 2021;Mark Zuckerberg and Sheryl Sandberg’s Partnership Did Not Survive Trump;The company they built is wildly successful. But her Washington wisdom didn’t hold up, and neither did their close working relationship.
