;date;title;summary
0;April 1, 2017;Farhad’s and Mike’s Week in Tech: When Twitter Confuses and Facebook Copies;People always bad-mouth an update on Twitter, but this time it really was bad.
1;April 2, 2017;How Uber Uses Psychological Tricks to Push Its Drivers’ Buttons;The start-up has undertaken an extraordinary experiment in behavioral science to subtly entice an independent work force to maximize company revenue.
2;April 3, 2017;Google Training Ad Placement Computers to Be Offended;It’s about context. Google engineers are trying to teach machines to recognize what can be offensive or inoffensive depending on the situation.
3;April 3, 2017;The Digital Nomad Life: Combining Work and Travel;Dozens of new programs allow the experience of living and working in far-off places, weeks or months at a time.
4;April 3, 2017;Tech Roundup: Google’s Ad Issues Expose a Vulnerability;Concern among big advertisers that their material is being shown next to YouTube videos posted by extremists shows that every system has its weaknesses.
5;April 3, 2017;Trump Completes Repeal of Online Privacy Protections From Obama Era;Republicans said the rules were unfair to broadband providers, while privacy experts said they could allow companies to sell personal data to advertisers.
6;April 4, 2017;When Your Mail Moves Itself;Filters and other mail programs may be resorting your incoming Gmail messages out of your inbox and into the archived mail area.
7;April 4, 2017;Tech Roundup: Changes to the H-1B Visa Program Begin;The federal government announced fairly small changes to the work visa program. Tech companies are still waiting for more significant alterations.
8;April 4, 2017;Fox Scandals May Weaken Murdochs’ TV Future;The cost to 21st Century Fox is low for now. A toxic culture, however, can damage long-run efforts to broaden consumer appeal.
9;April 4, 2017;Nivea Pulls ‘White Is Purity’ Ad After Online Uproar;Nivea, again accused of racial insensitivity, halted a campaign promoting its Invisible For Black & White deodorant.
10;April 5, 2017;For Internet Privacy, VPNs Are an Imperfect Shield;Lawmakers’ decision to overturn online privacy rules has many users weighing the pros and cons of these virtual tunnels.
11;April 5, 2017;Reasons Not to Dismiss GPS Devices for Your Car;While apps like Google Maps provide accurate traffic information, dedicated car-GPS devices do have some advantages.
12;April 5, 2017;Tech Roundup: Facebook Loses Fight on New York Warrant Order;The social media company hoped the case could establish a right to push back against law enforcement requests for information.
13;April 5, 2017;At F.C.C., Obama-Era Rules on Chopping Block;First, privacy rules fell. Up next are net neutrality, broadband subsidies and rules blocking local media consolidation.
14;April 6, 2017;Tech Roundup: A Defense of ‘Programmatic Ads’;People love to hate online adds, particularly the automated kind dropped into websites or videos. But proponents say critics are overstating the issues.
15;April 6, 2017;Twitter Sues the Government to Block the Unmasking of an Account Critical of Trump;Twitter said it had a received a summons to reveal the owner of a so-called alt-account, whose owners say they are dissident current or former government workers.
16;April 7, 2017;China Tech Investment Flying Under the Radar, Pentagon Warns;An internal Pentagon report urged action to guard against Chinese efforts to acquire American technology that may underpin future military weapons and tools.
17;April 7, 2017;NRG, a Power Company Leaning Green, Faces Activist Challenge;Two hedge funds have installed board members, one a climate-science skeptic, with the company’s renewable-energy business possibly in play.
18;April 7, 2017;Uber Denies It Is Using Stolen Waymo Technology;The ride-hailing service said it started developing its own self-driving car systems before hiring an ex-Google employee accused of the theft.
19;April 7, 2017;"U.S. Blinks in Clash With Twitter; Drops Order to Unmask Anti-Trump Account";A day after Twitter sued to block a summons seeking information about who was behind an anonymous account, the federal government withdrew the summons.
20;April 7, 2017;Spotify May Go Public Without Raising Capital;A direct listing is unconventional, but it would spare the music-streaming company the rigmarole of an I.P.O. and save on banking fees.
21;April 8, 2017;Farhad’s and Mike’s Week in Tech: Why We’ll Miss Walt Mossberg;Twitter fights the government, Google fights Uber, and we fight back tears over a tech columnist’s retirement.
22;April 9, 2017;Canada Tries to Turn Its A.I. Ideas Into Dollars;Today’s striking advances in artificial intelligence owe a lot to research in Canada over the years. But the country has so far failed to cash in.
23;April 9, 2017;Fox News Troubles Heighten Scrutiny of Rupert Murdoch’s Plan to Acquire Sky;A regulator will rule next month on whether 21st Century Fox can buy the rest of Sky, the British satellite and news giant.
24;April 9, 2017;He Buys a Lot of Ads, and He’s Frustrated With Digital;Marc S. Pritchard, chief brand officer for Procter & Gamble, is leading demands for more data on where ads appear and how views are measured.
25;April 10, 2017;Tech Roundup: Canada Spends to Keep A.I. Experts Home;Canadian researchers have played a major role in developing artificial intelligence. Now the government is helping to create research centers to retain them.
