;date;title;summary
0;May 2, 2021;Has Online Retail’s Biggest Bully Returned?;Outraged customers of Eyeglassesdepot sound like the victims of a man who’s already spent years in prison for terrorizing consumers.
1;May 2, 2021;Apple and Epic Head to Court Over Their Slices of the App Pie;Apple and Epic Games, maker of the wildly popular game Fortnite, square off on Monday in a trial that could decide how much control Apple can exert over the app economy.
2;May 2, 2021;Verizon Near Deal to Sell Yahoo and AOL;In making the deal with the private equity firm Apollo, Verizon is acknowledging that it couldn’t compete with Google and Facebook for digital ads. Instead, it will concentrate on building a 5G network.
3;May 3, 2021;Why Biden’s Plan to Raise Taxes for Rich Investors Isn’t Hurting Stocks;Investors care more about economic data and corporate profits than an increase in the capital gains tax. It has usually been this way.
4;May 3, 2021;Yahoo and AOL, Early Internet Pioneers, Are Sold to Private Equity Firm;Verizon offloaded its media business to Apollo Global Management in a deal valued at $5 billion as the mobile phone giant focuses on building out its 5G network.
5;May 3, 2021;Big Business Takes on Anti-Asian Discrimination;Wealthy executives and corporate giants are giving $250 million to influence policy and counter violence.
6;May 3, 2021;Back to Work the Google Way;Google plans to experiment with new office configurations and more flexibility. Will others follow?
7;May 3, 2021;Apple and Epic Trial Opens With a Tour of the Fortnite ‘Metaverse’;Epic has accused Apple of unfairly using its App Store’s power to take a cut of the money made in Fortnite, a popular online game.
8;May 4, 2021;The Big Stakes in the Gates Divorce;The split of Bill and Melinda Gates raises questions about the fate of their vast fortune.
9;May 5, 2021;How to Power Up Your To-Do List;The free task-reminder app on your phone can keep you and your projects on track.
10;May 5, 2021;Facebook Oversight Board Upholds Social Network’s Ban of Trump;A company-appointed panel ruled that the ban was justified at the time but added that the company should reassess its action and make a final decision in six months.
11;May 5, 2021;Fox News keeps profits flowing at Murdoch’s Fox Corporation.;Revenue at Fox Corporation dropped as fewer viewers tuned into the company’s cable channels and the Fox broadcast network. The company also announced the acquisition of OutKick Media.
12;May 6, 2021;The Vaccine Liberation Movement Gets a New Ally;U.S. support for suspending patent protections increasingly pits policymakers against drug makers.
13;May 7, 2021;Despite Chip Shortage, Chip Innovation Is Booming;While a variety of industries struggle with supplies, semiconductor experts say there are plenty of new ideas and, most surprising, start-ups.
14;May 7, 2021;Computer Chips Are the New Toilet Paper;Really.
15;May 8, 2021;Seeing the Real Faces of Silicon Valley;For many midlevel engineers and food truck workers and longtime residents, a region filled with extremes has become increasingly inhospitable.
16;May 8, 2021;Do Restrictions on H-1B Visas Create American Jobs?;Demand for the visas has increased despite Trump administration policies that made them less likely to be approved.
17;May 10, 2021;Stay Safe From App Tracking;What we can learn from Apple’s privacy labels, and how we can better protect our information.
18;May 11, 2021;Semiconductor makers and users form a group to push for chip funding.;The new coalition comes amid a global semiconductor shortage that has caused disruptions throughout the economy.
19;May 11, 2021;Why Is New TV So Much Like Cable?;The standard business practices developing around streaming entertainment are rotten and need to change.
20;May 12, 2021;India’s Strict Rules on Foreign Aid Snarl Covid Donations;International donors are raising millions, but the Modi administration has erected hurdles for overseas organizations and guided money toward officially endorsed groups.
21;May 12, 2021;Amazon’s $300 million European tax charge is rejected by an E.U. court.;The decision undercuts efforts by the European Union to force big tech firms to pay more in taxes.
22;May 13, 2021;The Apple and Amazon Side Hustles;The companies say they always do what’s best for us, but their advertising businesses suggest otherwise.
23;May 14, 2021;New Mask Rules Are Tricky for Business;Companies are navigating conflicting guidance on pandemic precautions.
24;May 14, 2021;Looking for Bipartisan Accord? Just Ask About Big Business.;In surveys and political discourse, Republicans are increasingly critical of corporations, but not for the reasons Democrats have long held that view.
25;May 14, 2021;A Tahini Lemon Cranberry Bar Dreams of Whole Foods;With workers at home and stores stingy with shelf space, how is a new protein bar supposed to introduce itself? Even the food giants had to adjust.
26;May 14, 2021;As Congress Dithers, States Step In to Set Rules for the Internet;Virginia, Florida, Arkansas and Maryland are among dozens of states that have introduced bills to curtail the power of Amazon, Google, Facebook and Twitter.
27;May 17, 2021;Inflation Fears Abound as Gas and Lumber Shortages Bite. Should the Fed Worry?;Federal Reserve officials believe low and stable price expectations give them room to heal the job market. But what if outlooks change?
28;May 20, 2021;Once Tech’s Favorite Economist, Now a Thorn in Its Side;Paul Romer’s call for government activism, particularly toward the big tech companies, reflects “a profound change in my thinking.”
29;May 21, 2021;Shoshana Zuboff Explains Why You Should Care About Privacy;In a wide-ranging interview, the author of “The Age of Surveillance Capitalism” talks about why people should pay attention to how big tech companies are using their information.
30;May 24, 2021;The Costly Pursuit of Self-Driving Cars Continues On. And On. And On.;Many in Silicon Valley promised that self-driving cars would be a common sight by 2021. Now the industry is resetting expectations and settling in for years of more work.
31;May 24, 2021;When It’s OK to Be a Guinea Pig;It can be fun to try out new products, but only if we know what we’re signing up for.
32;May 24, 2021;Florida, in a First, Will Fine Social Media Companies That Bar Candidates;The new law is a direct response to Facebook’s and Twitter’s suspensions of former President Donald J. Trump.
