;date;title;summary
0;Aug. 2;The Books Merger That’s About Amazon;The U.S. wants to stop Penguin Random House from buying Simon & Schuster. The elephant in the room is Amazon.
1;Aug. 3;4 Helpful iPhone and Android Tricks You May Not Know About;Keeping up with new software features can be a chore, but here are a few tools from recent updates that may be useful — and potentially lifesaving.
2;Aug. 3;Taking Stock of Pelosi’s Taiwan Trip;More fallout may be ahead for businesses and investors from a visit that tested China’s appetite for confrontation.
3;Aug. 4;The New Deciders on Corporate Taxes;A climate and tax bill could give a lot of power to an organization called the Financial Accounting Standards Board.
4;Aug. 4;India Withdraws a Proposed Law on Data Protection;A number of lawyers and experts say measures to safeguard citizens online are badly needed, but the bill was criticized by both privacy advocates and tech companies.
5;Aug. 4;Classic Internet Censorship;New regulations in Indonesia show that strict online controls are no longer confined to autocratic countries like China.
6;Aug. 5;A.I. Is Not Sentient. Why Do People Say It Is?;Robots can’t think or feel, despite what the researchers who build them want to believe.
7;Aug. 5;The Humbling of Coinbase;In just over a year, the United States’ largest cryptocurrency exchange went from a triumphant public offering to a “crypto winter” of cost cutting and layoffs.
8;Aug. 5;Clock Running Out on Antitrust Bill Targeting Big Tech;A sweeping bill that would enact the strongest restrictions on Big Tech companies in the United States has been stalled in the Senate.
9;Aug. 8;Axios Agrees to Sell Itself to Cox Enterprises for $525 Million;The digital media company’s founders, Jim VandeHei, Mike Allen and Roy Schwartz, will continue to run the company.
10;Aug. 9;How Russia Took Over Ukraine’s Internet in Occupied Territories;Diverting traffic through Russian networks makes it easier to censor, surveil and digitally wall off the invaded population.
11;Aug. 9;Travel the World in an App;But be careful: Flight-tracking technology can be addictive.
12;Aug. 9;Justice Dept. Said to Conduct New Interviews in Inquiry Into Google’s Ad Tech;The Justice Department for more than a year has investigated whether Google abuses its dominance over the interlocking technologies that deliver ads online.
13;Aug. 10;Change These Default Settings and Be Happier With Your Tech;Simple steps can make your smartphone, computer and TV work better for you.
14;Aug. 10;Inflation Cooled in July, Welcome News for White House and Fed;Prices have increased rapidly since last year, but barely budged in July — a positive development, though not yet enough for a victory lap.
15;Aug. 11;Driverless Cars Shouldn’t Be a Race;Sometimes it’s better to be safe than first.
16;Aug. 12;The Summer of NIMBY in Silicon Valley’s Poshest Town;Moguls and investors from the tech industry, which endorses housing relief, banded together to object to a plan for multifamily homes near their estates in Atherton, Calif.
17;Aug. 13;Stock Buybacks and Dividends Become a $1.5 Trillion Political Target;Companies have been criticized for the vast sums they are sending investors. Some of that money could be put to better use but for the most part, our columnist says, bring it on.
18;Aug. 14;How Frustration Over TikTok Has Mounted in Washington;National security concerns over the Chinese-owned viral video app remain unresolved. Lawmakers and regulators are increasingly pushing for action.
19;Aug. 16;A Frustrating Hassle Holding Electric Cars Back: Broken Chargers;Owners of battery-powered cars sometimes struggle to refuel on longer trips because public chargers don’t work or malfunction while cars are plugged in.
20;Aug. 16;Lyft Unveils Self-Driving Car Service in Las Vegas (With Caveats);The company joins several others that are introducing self-driving services — but the cars often have drivers or are otherwise limited in their autonomy.
21;Aug. 17;Tech Hacks to Make Traveling Right Now Less of a Headache;The travel industry is recovering from the pandemic, but messily. These apps and tips can help us navigate the chaos and maximize our comfort.
22;Aug. 18;The Faded but Winning Pandemic Star;Sales are down, but there is no need to pity the Chromebook.
23;Aug. 18;Social Media Was a C.E.O.’s Bullhorn, and How He Lured Women;Dan Price was applauded for paying a minimum salary of $70,000 at his Seattle company and criticizing corporate greed. The adulation helped to hide and enable his behavior.
24;Aug. 19;TikTok Browser Can Track Users’ Keystrokes, According to New Research;In the web browser used within the TikTok app, supplementary code lets the company track every character typed by users. The company said the capability was for troubleshooting.
25;Aug. 20;How the Find My App Became an Accidental Friendship Fixture;Introduced 10 years ago, the app has slowly become a popular way to keep track of friends. But it comes with considerable privacy concerns.
26;Aug. 20;The Fried Chicken Inflation Index;YouTube star Elijah Quashie, of the U.K. hit “The Pengest Munch,” copes with the rising cost of wings.
27;Aug. 21;A Dad Took Photos of His Naked Toddler for the Doctor. Google Flagged Him as a Criminal.;Google has an automated tool to detect abusive images of children. But the system can get it wrong, and the consequences are serious.
28;Aug. 22;McDonald’s Orders a Board Shake-Up;The restaurant chain has made the first big change to its board in three years after seeing off a campaign by the activist investor Carl Icahn.
29;Aug. 23;To Fight Election Falsehoods, Social Media Companies Ready a Familiar Playbook;Platforms like TikTok and Facebook are planning anti-misinformation strategies that resemble those used in 2020.
30;Aug. 24;We Need to Talk About How Good A.I. Is Getting;We’re in a golden age of progress in artificial intelligence. It’s time to start taking its potential and risks seriously.
31;Aug. 24;Can Technology Help Cities Manage Curbs Better?;We’re asking our streets and sidewalks to do more and more. Start-ups are trying to help with curbside management tools — but will cities rise to the challenge?
32;Aug. 24;A 5-Step Checklist for Handling Air Travel Woes on the Go;With planning and a well-stocked smartphone, you can map out a strategy for dealing with flight disruptions.
33;Aug. 24;Why Social Media Sites Are Removing Andrew Tate’s Accounts;TikTok, YouTube and Facebook have taken down accounts belonging to Mr. Tate, a 35-year-old British American.
34;Aug. 24;Google Finds ‘Inoculating’ People Against Misinformation Helps Blunt Its Power;British researchers and a team from Google found that teaching people how to spot misinformation made people more skeptical of it.
35;Aug. 24;Amazon says it will shut down Amazon Care, its primary and urgent health care business.;Last month, the company said it planned to acquire One Medical, a much larger competitor to its own health care business.
36;Aug. 24;Facebook, Twitter and Others Remove Pro-U.S. Influence Campaign;It was the first time that an influence operation promoting U.S. interests abroad had been discovered and taken down from the social media platforms.
37;Aug. 25;Why Peloton Is Selling on Amazon;The dream was to sell directly to customers. Now Peloton is on Amazon, Casper is in a furniture shop, and it’s awkward.
38;Aug. 28;The Office’s Last Stand;It’s either the end of the era of flexibility around where work takes place — or the beginning of outright rebellion.
39;Aug. 30;Sweeping Children’s Online Safety Bill Is Passed in California;The new rules, which would require many online services to increase protections for children, could change how popular social media and game platforms treat minors.
40;Aug. 30;California Bids for Tighter Rein on Fast-Food Chains;The bill, which would create a state council to establish minimum pay and safety conditions, was the subject of a giant lobbying battle.
41;Aug. 30;Google Employee Who Played Key Role in Protest of Contract With Israel Quits;The worker said the company had tried to retaliate against her activism opposing a deal with the Israeli military, while co-workers argued the company had an anti-Palestinian bias.
42;Aug. 30;Google Says Trump’s Truth Social Must Scrub Violent Content to Join Play Store;The social media app is not available on Google’s app store, and the former president’s company and Google are publicly disagreeing about why.
43;Aug. 31;Bed Bath & Beyond Secures a Financial Lifeline;The retailer confirmed that it has taken out more than $500 million in new financing as it seeks to shore up its struggling business.
44;Aug. 31;Snap Cuts 20% of Employees and Restructures;The maker of Snapchat discontinued some of its products and appointed a chief operating officer, amid financial struggles.
45;Sept. 1;Tech Companies Slowly Shift Production Away From China;Worried about geopolitical tensions and stung by pandemic shutdowns, Google, Apple and others are moving some work to nearby countries.
46;Sept. 1;Big Tech Reconsiders the “Made in China” Way;Apple, Google and Microsoft are among the technology firms looking to shift some of their manufacturing out of China.
