;date;title;summary
0;May 1, 2019;DealBook Briefing: How Deutsche Bank Dealt With Demands for Trump Records;Bank officials are said to have been eager to provide the President’s financial documents to Congress.
1;May 1, 2019;Tech Is Changing New York, but Not How He Reports on the City;J. David Goodman, a metro reporter, has chronicled the Google and Amazon invasions. But the most effective technology for reporting on the city is still coffee.
2;May 1, 2019;It’s Time to Use Your Imagination With Bluetooth Trackers. We Did.;The tiny tags are typically used to find valuables like house keys, but they are far more versatile than that.
3;May 1, 2019;Facebook Set to Create Privacy Positions as Part of F.T.C. Settlement;Talks include creating a new committee and an external assessor that would scrutinize how well the social network protects user data.
4;May 2, 2019;Distracted by Tech While Driving? The Answer May Be More Tech;The most effective safety features may be the systems that are laying the foundation for the autonomous cars of the future.
5;May 3, 2019;The Week in Tech: Worried About Screen Time? A Dose of Big Tech Data May Help;Moral panic about our use of devices could benefit from good data. Big Tech companies are sitting on that information.
6;May 3, 2019;With Uber’s I.P.O., Dara Khosrowshahi Is Taking Travis Kalanick’s Company Public;The C.E.O. wants to prove that the start-up has evolved past a raucous, and profligate, tech-bro culture. But Uber’s past is simply not that far gone.
7;May 4, 2019;DealBook Special: Berkshire Hathaway Annual Meeting;Tens of thousands of shareholders attended the annual meeting of Warren Buffett’s Berkshire Hathaway. DealBook provided analysis through it all.
8;May 4, 2019;Facebook Faces a Big Penalty, but Regulators Are Split Over How Big;The F.T.C. chairman seems to have the votes to approve a settlement. One of the biggest issues has been whether to hold Mark Zuckerberg liable for future violations.
9;May 4, 2019;The Week in Business: Facebook Tamps Down Hate Speech, and Uber’s I.P.O. Is Here;Plus, Stephen Moore won’t be nominated for a Fed seat after all — but why?
10;May 5, 2019;DealBook Special: Everything You Need to Know About the Uber I.P.O.;How much will the company be valued at? What can go wrong? Who stands to get rich? Let us answer all those questions and more.
11;May 6, 2019;Europe Is Reining In Tech Giants. But Some Say It’s Going Too Far.;Bids to block harmful and violent content online in Europe are drawing criticism for limiting free expression and undercutting the ideals of an open web.
12;May 6, 2019;DealBook Briefing: Trump Plays Chicken With China on Trade;The president threatened further tariffs on Chinese goods in an attempt to win more concessions from Beijing during trade talks.
13;May 7, 2019;Start-Ups Hoping to Fight Climate Change Struggle as Other Tech Firms Cash In;A number of small companies are looking for ways to remove carbon from the atmosphere. But investors, burned by the clean-tech boom a decade ago, are leery.
14;May 7, 2019;DealBook Briefing: Trump Wasn’t Joking About New Tariffs on China;President Trump’s top economic advisers accused China of reneging on commitments to resolve the trade war.
15;May 7, 2019;Google Pixel 3A Review: The $400 Smartphone You’ve Been Waiting For;The first midrange Pixel is packed with innovations, without a shocking price.
16;May 7, 2019;Lyft’s First Results After I.P.O. Show $1.14 Billion Quarterly Loss;The ride-hailing company’s revenue nearly doubled for the quarter, while its loss was driven by a hefty charge for its stock-based compensation plan.
17;May 7, 2019;Google Says It Has Found Religion on Privacy;The internet giant, which has repeatedly been accused of intrusive behavior, wants to give consumers tools to control their own online data.
18;May 8, 2019;DealBook Briefing: $1 Billion in Trump Losses, From 1985 to 1994;A decade of figures from Donald Trump’s federal income tax returns suggest his losses started earlier and went deeper than previously thought.
19;May 8, 2019;Capturing What’s Online in China Before It Vanishes;It’s important to preserve snapshots of China’s internet before they vanish without a trace, says Raymond Zhong, a Times tech reporter in Beijing.
20;May 8, 2019;F.T.C. Commissioners Back Privacy Law to Regulate Tech Companies;Congress is debating a national privacy law to regulate how big tech companies like Facebook and Google collect and handle user data.
21;May 9, 2019;Uber Is Going Public: How Today’s Tech I.P.O.s Differ From the Dot-Com Boom;Uber, Lyft and others going public this year are more established than their tech counterparts from the late 90s, but as some see slowing growth, there are questions about where they go from here.
22;May 9, 2019;Facebook Objects to Chris Hughes Essay Calling for Its Breakup;“You don’t enforce accountability by calling for the breakup of a successful American company,” Nick Clegg, a Facebook executive, said in response to the Op-Ed.
23;May 10, 2019;The Week in Tech: Facebook and Google Reshape the Narrative on Privacy;You may think privacy means keeping hold of your data. The two tech giants want it to mean they don’t hand data to others.
24;May 12, 2019;New Zealand Seeks Global Support for Tougher Measures on Online Violence;In the wake of the terrorist attack on Muslim mosques, Prime Minister Jacinda Ardern is calling for a united effort against the biggest internet companies.
25;May 12, 2019;As TV Industry’s $20 Billion Week Starts, Signs That Streaming Isn’t King Yet;The so-called upfronts are traditional television’s annual hype-fest, and a way of locking advertisers into lucrative deals. They’re also a reminder of the medium’s continuing relevance.
26;May 13, 2019;DealBook Briefing: Uber Bombed. Now What?;It tumbled 7.6 percent from its I.P.O. price on Friday. Now all eyes are on its second day on the public stock markets.
27;May 13, 2019;NBC Makes a Nostalgic Pitch to Advertisers at Radio City;The network promotes TV veterans (Fran Drescher! Brian Williams!) while noting that it’s pushing back the start date of its streaming service.
28;May 14, 2019;Nissan Warns of Sharp Drop in Profit as Sales Fall in Major Markets;The automaker is expecting a nearly 28 percent drop in operating profit. It blames diminished vehicle sales in the United States and Europe.
29;May 14, 2019;Attention, Amazon Shoppers: Google Wants Some of Your Spending Money;Amazon wants to sell ads. Google wants to woo shoppers. Their ambitions are putting the tech giants on a collision course.
30;May 14, 2019;Facebook Restricts Live Streaming After New Zealand Shooting;When 51 people were killed in New Zealand, the suspect broadcast it live on Facebook. The massacre led to a global call to combat the spread of violent content.
31;May 15, 2019;DealBook Briefing: The Forever Trade War?;Tariffs first looked like a temporary bargaining tool. Now they’re starting to look like the new normal.
32;May 15, 2019;Why Play a Music CD? ‘No Ads, No Privacy Terrors, No Algorithms’;Streaming services have revolutionized the discovery of songs, but here’s why Ben Sisario, who covers the music industry, still likes to listen to compact discs.
33;May 15, 2019;Trump Administration Balks at Global Pact to Crack Down on Online Extremism;Citing American’s free speech protections, the administration said it would not endorse the ‘Christchurch Call,’ which urges major online platforms to eradicate violent and extremist content.
34;May 15, 2019;Facial Recognition’s Many Controversies, From Stadium Surveillance to Racist Software;Privacy worries have long surrounded the technology. Here’s a look back.
35;May 16, 2019;Vice Tries to Turn the Page by Making Content for Others;A new chief executive hopes that the TV and movie production business can help overcome significant difficulties elsewhere in the company.
36;May 16, 2019;DealBook Briefing: How Uber Bombed;The story of Uber’s disappointing I.P.O. is a tale of mismanaged expectations with plenty of blame to go around.
37;May 16, 2019;Trump’s Latest Move Takes Straight Shot at Huawei’s Business;By restricting the Chinese technology giant’s ability to buy American components, Washington could hamstring Huawei’s operations worldwide.
38;May 17, 2019;As Trade War Rages, China’s Sway Over the U.S. Fades;Beijing once could count on allies in business and politics to help get its way. Now many of its old allies are staying on the sidelines.
39;May 17, 2019;DealBook Briefing: Inside the Fall of the Trade Deal;President Xi Jinping misjudged President Trump’s eagerness for a deal — and how far he could push the American negotiators.
40;May 17, 2019;The Week in Tech: Putting an A.I. Genie Back in Its Bottle;San Francisco demonstrated that technologies believed to be damaging to citizens’ well-being can be curtailed.
41;May 17, 2019;Facebook’s A.I. Whiz Now Faces the Task of Cleaning It Up. Sometimes That Brings Him to Tears.;Facebook has heralded artificial intelligence as a solution to its toxic content problems. Mike Schroepfer, its chief technology officer, says it won’t solve everything.
42;May 18, 2019;The Week in Business: A Facial Recognition Ban, and Trade War Blues;Also: Worries about another war, and the continuing crisis at Boeing.
43;May 20, 2019;Amazon Faces Investor Pressure Over Facial Recognition;Shareholders are voting on whether to push the tech giant to examine the human rights and financial risks of the surveillance technology.
44;May 20, 2019;DealBook Briefing: Tech’s Cold War Just Started;Google, Qualcomm and Broadcom are among the companies that have reportedly frozen their supply of components and software to Huawei.
