;date;title;summary
0;April 1, 2020;How to Digitize Your Most Important Documents;If you have some spare time at home and want a productive project, consider creating a digital archive of your personal papers.
1;April 1, 2020;Start-Ups Are Pummeled in the ‘Great Unwinding’;Dozens have laid off thousands, slashed costs and changed their businesses to try to survive the pandemic. All that may not work.
2;April 1, 2020;Notion, Maker of Collaboration Software, Raises $50 Million;While many start-ups grapple with the fallout from the pandemic, this San Francisco company raised more cash to survive.
3;April 2, 2020;Coronavirus Layoffs Are Hitting Start-Ups Hard;Job losses are steep in many corners of the corporate world, but they’ve pummeled start-ups — which are often pushed to grow fast or die — with particular ferocity.
4;April 2, 2020;Amazon Pushes Into Making Video Games, Not Just Streaming Their Play;The internet giant is investing hundreds of millions of dollars in the effort, with its first original game, Crucible, to be released next month.
5;April 2, 2020;When Silly Start-Ups Falter, We All Lose;The pandemic is devastating start-ups. This matters in ways we can’t always see.
6;April 3, 2020;Wall St. Caps a Turbulent Week With a Decline;Live updates on stock market and business news during the coronavirus outbreak.
7;April 3, 2020;How Tech’s Lobbyists Are Using the Pandemic to Make Gains;Silicon Valley hasn’t suffered from the same financial devastation as other industries. Tech companies still have an agenda to push.
8;April 3, 2020;‘A Seismic Shock’: Jittery Companies Pull Back on Ads During Pandemic;Blank billboards and canceled online ads signal an industry in crisis as the coronavirus spreads. “There are things happening that we’ve never seen before,” one marketing executive said.
9;April 3, 2020;How to Thrive in Online Life;A video game pro tells us to embrace the mess of our pandemic lives.
10;April 6, 2020;‘Scared to Death’ by Arbitration: Companies Drowning in Their Own System;Lawyers and a Silicon Valley start-up have found ways to flood the system with claims, so companies are looking to thwart a process they created.
11;April 6, 2020;It’s Now Amazon’s Turn in the Spotlight;The tech superpower faces hard questions over how it’s handling worker safety.
12;April 7, 2020;Wall Street’s Rally Fades;Live updates on stock market and business news during the coronavirus outbreak.
13;April 7, 2020;The Virus Changed the Way We Internet;With many stuck at home during the pandemic, Americans have been spending more of their lives online. This is how our habits have changed.
14;April 7, 2020;Are We Turning a Corner? Investors Are Betting on It;A huge stock rally greeted the apparent slowing of infection and death rates. But experts say we are nowhere close to reopening the economy.
15;April 7, 2020;Is This the Most Virus-Proof Job in the World?;Pro video game streamers are used to spending their days in isolation. And a huge new audience is at home to watch them play.
16;April 7, 2020;Passover Goes On, With Screens;Religious families lean on technology this month to recreate disrupted rituals.
17;April 7, 2020;Jack Dorsey Vows to Donate $1 Billion to Fight the Coronavirus;The founder of Twitter and Square said he was putting nearly a third of his total wealth toward the effort.
18;April 8, 2020;You Can’t Spell Creative Without A.I.;Advances in software applications that process human language lie at the heart of the debate over whether computer technologies will enhance or even substitute for human creativity.
19;April 8, 2020;What’s Your Pet Saying? These Machines Know;New technology in streaming cameras can flag unusual behavior or suggest why the dog might be barking.
20;April 8, 2020;Computers Already Learn From Us. But Can They Teach Themselves?;Scientists are exploring approaches that would help machines develop their own sort of common sense.
21;April 8, 2020;Jack Dorsey Ups the Ante on Coronavirus Donations;Corporate leaders are increasingly announcing big gifts, or taking pay cuts, to help respond to the pandemic — and to keep the political heat off.
22;April 8, 2020;Google Makes Stadia Gaming Service Free;The $130 entry fee is being waived indefinitely, as interest in playing video games surges during the coronavirus pandemic.
23;April 8, 2020;The Lesson We Are Learning From Zoom;The popular app offered the simplest path to videoconferencing in a pandemic. That doesn’t make it the right path to take.
24;April 9, 2020;The Humble Phone Call Has Made a Comeback;The volume of phone calls has surged more than internet use as people want to hear each other’s voices in the pandemic.
25;April 10, 2020;Can Our Phones Stop a Pandemic?;Some countries are using location data from smartphones to fight the pandemic. Should the United States?
26;April 10, 2020;Apple and Google Team Up to ‘Contact Trace’ the Coronavirus;The technology giants said they would embed a feature in iPhones and Android devices to enable users to track infected people they’d come close to.
27;April 13, 2020;Why Trump is Pushing for Higher Oil Prices;Low prices have battered U.S. energy companies, putting the president in the unfamiliar position of coordinating with OPEC instead of criticizing it.
28;April 13, 2020;We’re Shopping a Ton Online. Let’s Be Conscientious About It;How we shop during the pandemic could have big consequences.
29;April 14, 2020;‘We Can Do Better’: One Plan to Erase America’s Digital Divide;Never has the necessity of the internet been so clear, nor has the cost to those who go without.
30;April 14, 2020;Even Google and Facebook May Face an Ad Slump;Though ad sales at the two companies are expected to be down, they are likely to fare better than smaller peers and publishers.
31;April 15, 2020;Bleak Data Shows Extent of Economic Damage;The latest on stock market and business news during the coronavirus outbreak.
32;April 15, 2020;The Virus Revealed Our Essential Tech (and Weeded Out the Excess);A computer with a good internet connection, communication apps and entertainment are the only tech we really need, ever.
33;April 15, 2020;As Online Buying Surges, So Do Noisy Cargo Flights;Cargo capacity has been expanding at some airports, disturbing the peace and routines of people who live nearby. Official channels offer scant recourse.
34;April 15, 2020;Who Tells Trump When to Restart the Economy;The president will take advice on reopening the economy from “Great American Economic Revival Industry Groups.” Some notable names are absent.
35;April 15, 2020;Apple, in a Virtual Unveiling, Introduces a $399 iPhone;The new iPhone SE has the design of an older generation of iPhones, with the same computing power as newer ones.
36;April 15, 2020;Why Apple’s New Phone Doesn’t Matter;New smartphones have become like refrigerators. They’re just not that exciting.
37;April 16, 2020;China’s G.D.P. Shrank in the First Quarter;The latest on stock market and business news during the coronavirus outbreak.
38;April 16, 2020;We Will Always Have Avarice;Making money in a crisis never goes out of style, our columnist says.
39;April 16, 2020;A Decade of Jobs Destroyed in a Month;The number of people in America who lost their jobs in the past four weeks is expected to surpass all of the jobs created since the last recession.
40;April 16, 2020;FOMO Has Survived the Coronavirus;No one is going anywhere cool, and yet I still feel left out.
41;April 16, 2020;Welcome to the ‘Rabbit Hole’;Introducing an audio series about how the internet is changing, and how it’s changing us.
42;April 17, 2020;When Even Amazon Is Sold Out of Exploding Kittens;Sometimes products are in stock. Sometimes they aren’t. And delivery times vary widely. A virus-fueled surge in orders has created chaos behind the scenes, and confusion for customers.
43;April 17, 2020;A Prescription for Reviving the Economy;The markets are abuzz about early data from a trial of an antiviral drug, as President Trump unveils guidelines for restarting the U.S. economy.
44;April 17, 2020;A Privacy Absolutist Isn’t So Sure Anymore;The urgency of the pandemic has made Charlie Warzel, an Opinion writer for The Times, question his beliefs on the dangers of location tracking.
45;April 19, 2020;Facebook to Introduce an App for Gaming;Video games are surging in popularity in the pandemic. So Facebook is rolling out an app designed for creating and watching live gameplay.
46;April 20, 2020;Zoom’s Security Woes Were No Secret to Business Partners Like Dropbox;Dropbox privately paid top hackers to find bugs in software by the videoconferencing company Zoom, then pressed it to fix them.
47;April 20, 2020;Australia Moves to Force Google and Facebook to Compensate Media Outlets;The decision, announced after talks on a voluntary system stalled, is part of a global push to save local news organizations.
48;April 21, 2020;Why Apple’s iPad Is the Gadget of the Pandemic;Shelter-in-place orders have transformed the tablet computer from a superfluous device into a must-have.
49;April 22, 2020;‘Pure Hell for Victims’ as Stimulus Programs Draw a Flood of Scammers;Trillions of dollars in stimulus funds have created a rush among criminals to take the money from those who need it the most.
50;April 23, 2020;Google Will Require Proof of Identity From All Advertisers;A slew of scams and misleading ads pushed the search giant to expand its verification policy.
51;April 24, 2020;The Next Round of Bailouts Will Name Names;The Treasury and the Fed vowed to crack down on companies taking advantage of rescue funds with new guidelines and measures to increase transparency.
52;April 24, 2020;I Used to Make Fun of Silicon Valley Preppers. Then I Became One.;In tech circles, gearing up for the apocalypse was a cliché. Now it’s a credential.
53;April 24, 2020;Zoom’s Biggest Rivals Are Coming for It;Facebook, Google and other behemoths are training their sights on Silicon Valley’s company of the moment.
54;April 26, 2020;The Week in Business: Not Enough Meat, and Too Much Oil;Jobs keep disappearing. Victoria’s Secret gets left out to dry. And do you know where your advertisers are?
55;April 27, 2020;Europe’s Privacy Law Hasn’t Shown Its Teeth, Frustrating Advocates;Nearly two years in, there has been little enforcement of the General Data Protection Regulation, once seen as ushering in a new era.
