;date;title;summary
0;Feb. 29, 2016;Autonomous Google Car Hits Public Bus During Test Drive;A self-driving car being tested by Google struck a public bus on a city street in Mountain View, Calif.
1;March 1, 2016;Cryptography Pioneers Win Turing Award;In the 1970s, Whitfield Diffie and Martin E. Hellman invented the technology that underpins web commerce.
2;March 1, 2016;Tenure Voting Could Shift the Balance of Corporate Power;A system that awards more votes the longer shares are held would empower shareholders and balance the interests of management and activists.
3;March 2, 2016;Facebook Faces German Antitrust Investigation;The move puts Facebook alongside other United States technology companies that have also faced antitrust investigations into their activities across the region.
4;March 2, 2016;Apple Gets Tech Industry Backing in iPhone Dispute, Despite Misgivings;Silicon Valley appears to be siding with Apple in the San Bernardino iPhone case, overcoming worries about the consequences of an unfavorable ruling.
5;March 3, 2016;Breaking Down Apple’s iPhone Fight With the U.S. Government;The technology company has been locked in a major legal battle against law enforcement officials over privacy and security.
6;March 3, 2016;Giving an Android App Permission to Play;Google’s Android 6.0 operating system, known as Marshmallow, gives its users control over their apps.
7;March 3, 2016;Apple Is Rolling Up Backers in iPhone Privacy Fight Against F.B.I.;Apple’s legal battle with the government tests the limits of law enforcement agencies’ access to personal data.
8;March 4, 2016;U.N. Rights Chief Says Unlocking Gunman’s iPhone Could Open ‘Pandora’s Box’;U.S. officials need to weigh the uncertain benefits against the broader implications of breaching personal security, the high commissioner said.
9;March 4, 2016;Facebook, in Accounting Change, Could Pay Millions More in British Taxes;The company will report sales linked to its British operations, mostly digital advertising, through its local subsidiary rather than its Irish unit.
10;March 4, 2016;Airbnb Hires First Director of Diversity;The executive, David King III, has worked on diversity issues for more than 10 years, first at the State Department and most recently for the Peace Corps.
11;March 4, 2016;At RSA Conference, Unlikely Allies Address Value of Digital Security;Given Apple’s dispute with the F.B.I., what surprised many at the world’s largest gathering of security experts was the nuanced tone of former government officials.
12;March 5, 2016;Farhad and Joe Examine Silicon Valley’s Pull in Washington;The chat goes from new talking devices, a drone that sees things, goggles (really) and the Apple cliffhanger. (Where’s Mike, anyway?)
13;March 6, 2016;It’s Discounted, but Is It a Deal? How List Prices Lost Their Meaning;When the same skillet costs $200 at a dozen web stores, the bargain isn’t so obvious to consumers, and scrutiny of this practice is growing.
14;March 6, 2016;Europe’s Antitrust Enforcer on Google, Apple and the Year Ahead;In an interview, Margrethe Vestager, the European Union’s competition commissioner, discusses the issues underpinning her current investigations and whether she unfairly targets American companies.
15;March 6, 2016;Tech Companies, New and Old, Clamor to Entice Cloud Computing Experts;As some tech sectors show signs of slowing, cloud services have created remarkable demand for highly educated engineers and mathematicians. And they are being compensated very well.
16;March 6, 2016;Taking Baby Steps Toward Software That Reasons Like Humans;A number of start-ups are developing a new generation of pattern recognition software that is slowly and steadily advancing artificial intelligence.
17;March 6, 2016;The Right Wing’s Casting Agency, and Its Agent;As executive director of Talent Market, Claire Kittle Dixon uses her vast connections to fill posts for prominent and obscure conservative organizations.
18;March 7, 2016;Tech Giants Battle for Top Cloud Talent;Industry titans like Amazon and Oracle are duking it out for cloud engineers, taking swipes at the competition and attracting workers with salaries as high as $1 million.
19;March 7, 2016;Aubrey McClendon Is Remembered for Ambition and Philanthropy;The natural gas wildcatting pioneer who died in a highway crash was remembered for his groundbreaking business career and his philanthropy.
20;March 8, 2016;Ad Watch: Under Armour Trains With Michael Phelps;The Phelps ad promotes Under Armour’s training apparel while serving as a reminder that success does not come easy.
21;March 8, 2016;Penny Pritzker on the Privacy Shield Pact With Europe;Ms. Pritzker, the commerce secretary, discussed the difficulties in reconciling differing privacy protections in Europe and the United States.
22;March 8, 2016;The End of the Road for Picasa;Google is retiring the free photo-editing program and urging its users to give the newer Google Photos software a try.
23;March 8, 2016;In San Francisco and Rooting for a Tech Comeuppance;The city is bulging, the rents soaring, and residents are growing more vocal about wishing Silicon Valley would cool off, or at least pay up.
24;March 8, 2016;Whole Foods Plans 100 Rooftop Solar Systems;The food retailer plans as many as 100 systems, which would increase renewable energy and save money.
25;March 9, 2016;The Echo From Amazon Brims With Groundbreaking Promise;The voice-controlled computer has the potential to become a dominant force in the most intimate of environments: our homes.
26;March 9, 2016;If Jack Dorsey Has a Problem Child Among His 2 Companies, It Isn’t Square;The mobile-payments company posted strong revenue growth, while Twitter, his other company, is struggling to attract new users.
27;March 10, 2016;Patagonia to Help Fund Residential Solar Installations;The systems will be available in Arizona, California, Connecticut, Delaware, Maryland, Massachusetts, New Jersey and New York, Patagonia said.
28;March 10, 2016;F.C.C. Proposes Privacy Rules for Internet Providers;The rules call for broadband providers to disclose how data about users’ online browsing may be collected and for better security of such data.
