;date;title;summary
0;Jan. 1, 2020;10 Electric Vehicles to Watch;Sales doubled in 2019, but the industry’s tipping point — severing ties to the gas pump — still lies ahead. These cars will help make that happen.
1;Jan. 1, 2020;The Tech That Will Invade Our Lives in 2020;From smart homes to ultrafast wireless speeds, here’s what to watch.
2;Jan. 2, 2020;How Did Carlos Ghosn Flee Japan?;Emerging details suggest that the former Nissan and Renault chairman owes his arrival in Lebanon to an escape plan on a grand scale.
3;Jan. 3, 2020;U.S. Strike Against Iran Rattles Markets;Markets were shaken by the death of a major Iranian general at the orders of President Trump, a killing that escalated tensions between Washington and Tehran.
4;Jan. 5, 2020;Your Digital Detox May Be Toxic for Advertising;Companies spent $99 billion on mobile ads last year even as some made commercials that acknowledge the downside of smartphones.
5;Jan. 6, 2020;4 Things to Know About YouTube’s New Children Privacy Practices;The video service is making several changes after a settlement with federal and state regulators.
6;Jan. 6, 2020;Awash in Disinformation Before Vote, Taiwan Points Finger at China;The self-governing island is on high alert for digital-age trickery and deception that Beijing might be using to try to swing a crucial election.
7;Jan. 7, 2020;Facebook Says It Will Ban ‘Deepfakes’;The company said it would remove videos altered by artificial intelligence in ways meant to mislead viewers.
8;Jan. 7, 2020;Sonos, Squeezed by the Tech Giants, Sues Google;The maker of home speakers said Google and Amazon stole its technology and abused their power, but it could only risk suing one.
9;Jan. 7, 2020;Don’t Tilt Scales Against Trump, Facebook Executive Warns;In an internal memo, Andrew Bosworth said he “desperately” wanted the president to lose. But, he said, the company should avoid hurting Mr. Trump’s campaign.
10;Jan. 7, 2020;U.S. and France Race to Conclude Digital Tax Talks as Tariff Threat Looms;The efforts came as purveyors of wine, cookware and handbags gathered in Washington to argue against the administration’s plan.
11;Jan. 8, 2020;Taking Stock of the Boeing Crash and Iran Missile Attack;The crash in Tehran of a 737-800, which killed all 176 onboard, and Iranian strikes against military bases in Iraq moved markets. What’s next?
12;Jan. 9, 2020;Facebook Says It Won’t Back Down From Allowing Lies in Political Ads;The company was under intense pressure to adjust its policies. But in this presidential election year, no big changes are planned.
13;Jan. 9, 2020;Facebook Won’t Take Down Misleading Political Ads;The tech giant said it would not impose limits on such advertising, despite pressure from liberal and conservative critics.
14;Jan. 10, 2020;A Glimpse of Our Connected Tech Future, Courtesy of CES 2020;Paying for gas with Amazon’s Alexa or playing table tennis with a robot: Whether the latest tech trends will become fixtures in our lives is an open question.
15;Jan. 10, 2020;‘This Airplane Is Designed by Clowns’;Boeing released more than 100 pages of internal messages about the 737 Max to Congress. It didn’t make for comfortable reading.
16;Jan. 10, 2020;The Week in Tech: New Decade, Same Old Trouble in Washington;If the tech industry was hoping for some relief from lawmakers’ pressure, the start of the year had to have been a disappointment.
17;Jan. 10, 2020;Alphabet’s Chief Legal Officer Stepping Down Amid Investigation;David Drummond, who played a key role for the company since it was founded, was being investigated for relationships with several women at the company.
18;Jan. 10, 2020;Buckle Up for Another Facebook Election;By opting not to change the company’s political advertising rules, Mark Zuckerberg has ensured another election shaped by the social network.
19;Jan. 12, 2020;The Week in Business: Flying Ubers and Pricey French Cheese;By Charlotte Cowles
20;Jan. 12, 2020;The Decimation of Local News Has Lawmakers Crossing the Aisle;Lawmakers from both parties blame companies like Facebook and Google for the struggles of local newspapers.
21;Jan. 13, 2020;Away’s Once and Future C.E.O.;Steph Korey stepped aside as chief of the hip luggage maker last month after internet backlash over her management style. She’ll return as co-C.E.O.
22;Jan. 14, 2020;Apple Takes a (Cautious) Stand Against Opening a Killer’s iPhones;The Silicon Valley giant is preparing for a legal fight over encryption, even as it works to reduce tensions with the Justice Department.
23;Jan. 15, 2020;We’re Living in a Subscriptions World. Here’s How to Navigate It.;Subscription services like Netflix and Google Drive are convenient, but we can lose control of our content and data. Here’s how to take it back.
