;date;title;summary
0;Aug. 1, 2021;The Week in Business: Robinhood Fizzled as Silicon Valley Sizzled;The stock-trading app Robinhood had a weak stock market opening, while Silicon Valley companies continued to set new earnings records.
1;Aug. 1, 2021;Zoom Agrees to Settle Lawsuit Over ‘Zoombombing’;The videoconferencing company said it would pay $85 million to settle the suit, which claimed that it violated users’ privacy, in part by allowing hackers to interrupt online meetings.
2;Aug. 2, 2021;The Corporate Vaccine Gap;Partial mandates at Walmart and others may widen a class divide.
3;Aug. 2, 2021;Home Depot, SoulCycle and other businesses tighten pandemic restrictions.;Equinox and Walmart are requiring some employees to be vaccinated. Home Depot and Lowes are reinstating mask requirements for workers.
4;Aug. 2, 2021;Workplace vaccine mandates reveal a divide among workers.;Corporate requirements for vaccinations have so far tended to cover the white-collar workers, not the lower-income workers on the front lines who are less likely to be vaccinated.
5;Aug. 3, 2021;Tyson Foods mandates vaccines for its U.S. work force.;More than 56,000 of Tyson’s 120,000 employees have been vaccinated. Frontline workers have until Nov. 1 to be fully inoculated.
6;Aug. 3, 2021;Inside the Epic Infrastructure Bill;What’s in the $1 trillion proposal, from broadband and bridges to ports and pedestrian crossings.
7;Aug. 3, 2021;Innovation Invites Hucksters;Unscrupulous, boundary-pushing executives seem to be an inescapable part of the most exciting technology.
8;Aug. 3, 2021;After Months of Avoiding the Vaccine Issue, Companies Begin to Mandate;Tyson and Microsoft were the latest to require employees to be vaccinated. Other major employers have tried less sweeping approaches.
9;Aug. 4, 2021;The New York Times Reaches 8 Million Subscriptions;The company expects to end the year with about 8.5 million. In its quarterly results, it reported holding nearly $1 billion in cash.
10;Aug. 4, 2021;‘Vaccinated or You Can’t Come In’;The latest corporate vaccine mandates cover more types of workers — and customers.
11;Aug. 5, 2021;Will Remote Workers Get Left Behind in the Hybrid Office?;The benefits of working from anywhere can also come with bias against those who aren’t seen around the hallways.
12;Aug. 5, 2021;YouTube Is Underwhelming;Even YouTube isn’t an unqualified financial winner. This does not speak well for the vitality of the internet.
13;Aug. 5, 2021;More Than Nudges Are Needed to End the Pandemic;Persuading vaccine holdouts to get shots will require increasingly forceful interventions, a Nobel laureate says.
14;Aug. 5, 2021;CNN fires three employees who went into the office unvaccinated.;The network has been relying on an honor system rather than requiring proof of vaccination status.
15;Aug. 6, 2021;Huawei’s sales tumble as phone buyers flee the Chinese giant.;U.S. sanctions contributed to a nearly 30 percent fall in overall revenue over the first half of the year.
16;Aug. 10, 2021;Google will add privacy steps for teenagers on its search engine and YouTube.;The tech giant becomes the latest to adopt tougher standards as the industry comes under fire for not doing enough to protect children.
17;Aug. 10, 2021;Delta Variant Casts a Shadow Over Midtown Manhattan’s Shaky Recovery;Signs of life have emerged as restaurants and stores reopen, but trouble looms as a rise in coronavirus cases delays some returns to the office.
18;Aug. 11, 2021;The Lesson to Learn From Apple’s Tool to Flag Child Sex Abuse;An update for iPhones has raised privacy concerns and is a reminder not to become reliant on a company’s cloud.
19;Aug. 11, 2021;EBay’s Survival Lesson;EBay is not reimagining space travel, and that’s totally fine.
20;Aug. 12, 2021;Reddit is valued at more than $10 billion in latest funding round.;Just six months ago it was valued at $6 billion. It raised $410 million in its latest round.
21;Aug. 12, 2021;The Elan of Elon Musk;A longtime critic of the Tesla chief executive explains why his bets against the car company haven’t paid off.
22;Aug. 12, 2021;Smartphones Won. We Can Ignore Them.;Smartphones are now normal and for everyone, which means we can ignore the hoopla around new models.
23;Aug. 13, 2021;Google Infringed on Patents Owned by Sonos, a Trade Judge Says;Sonos is seeking to ban the import of several Google products that are made in China. The preliminary finding will now be reviewed by the full United States International Trade Commission.
24;Aug. 15, 2021;You’ve Never Heard of the Biggest Digital Media Company in America;Red Ventures has turned very specific advice into very big business.
25;Aug. 16, 2021;Culture Change and Conflict at Twitter;Two years ago, the company brought in a blunt executive to make things move faster and to promote diversity. Then the problems began.
26;Aug. 16, 2021;The Fallout from Afghanistan;The economic and political effects of the Taliban takeover will be felt around the world.
27;Aug. 17, 2021;Bill Ackman’s SPAC Gets Sued;The lawsuit could have far-reaching consequences for the entire blank-check industry.
28;Aug. 18, 2021;Put Your Smartphone to Work for Your Return to the Office;Contactless bagel orders and finding new routes can help you keep social distance in your commute. And don’t forget your vaccination card.
29;Aug. 18, 2021;Are Apple’s Tools Against Child Abuse Bad for Your Privacy?;The backlash to Apple’s efforts to fight child sexual abuse show that in the debate between privacy and security, there are few easy answers.
30;Aug. 18, 2021;Tech Companies’ Afghanistan Foreign Policy;As we have seen with the fall of Kabul, a handful of unelected tech executives play a big role in high-stakes global affairs.
31;Aug. 19, 2021;Facebook’s New Bet on Virtual Reality: Conference Rooms;The pandemic has renewed interest in virtual reality. Facebook is trying to capitalize with a new virtual meeting room service.
32;Aug. 19, 2021;Are You Ready for Sentient Disney Robots?;Some of the animatronics at Disney’s parks have been doing their herky-jerky thing since the Nixon administration. The company knows that nostalgia won’t cut it with today’s children.
