;date;title;summary
0;April 1, 2019;DealBook Briefing: Aramco Makes More Money Than Apple and Alphabet Combined;The state-owned oil company’s books, opened as part of a $10 billion bond offering, reveal that it’s by far the world’s most profitable company.
1;April 1, 2019;In India Election, False Posts and Hate Speech Flummox Facebook;With as many as 879 million eligible voters set to cast ballots in the coming weeks, Facebook is struggling to cope with the disinformation and hate speech that is circulating online.
2;April 2, 2019;DealBook Briefing: Lyft Crashes Back to Reality;Investors have decided that the ride-hailing service was overvalued after its I.P.O. That spells trouble for Lyft, and other unicorns looking to go public.
3;April 2, 2019;Media Companies Take a Big Gamble on Apple;Executives have been burned by their previous dealings with big tech companies. But Apple’s promise of a billion devices worldwide was too good to pass up. Even for Rupert Murdoch.
4;April 2, 2019;A Suit Against Disney Claims Unequal Pay for Women;The complaint, filed on behalf of two employees in the studio division, asks for back pay and for Disney to adjust salaries and benefits for female workers.
5;April 3, 2019;From Bubble Memory to Hot Spots and a Fly Rod;David E. Sanger, a national security correspondent, recounts his gear from the computers in use when he joined The Times in 1982 to his overloaded backpack now.
6;April 3, 2019;A.I. Experts Question Amazon’s Facial-Recognition Technology;At least 25 prominent researchers are calling on the company to stop selling the technology to law enforcement agencies, citing concerns that it has built-in biases.
7;April 3, 2019;A.I. and Privacy Concerns Get White House to Embrace Global Cooperation;In technology, the Trump administration has departed from its anti-regulatory, nationalist approach.
8;April 4, 2019;Condé Nast Selects a Deal-Making Tech Executive as Its New Chief;The once-cushy publisher of Vogue, The New Yorker and Vanity Fair chose Roger J. Lynch, formerly of Pandora, to steer it through a challenging time.
9;April 4, 2019;DealBook Briefing: Banks Get a Failing Grade on Guns;The advocacy group Guns Down America graded 15 banks based on their support for the gun industry. Most received dismal appraisals.
10;April 4, 2019;Tesla Got an Early Lead, but Luxury Electric Rivals Are Racing to Catch Up;Several months ago, Jaguar introduced the I-Pace sport utility vehicle, and more rival electrics will soon be available from Audi, Mercedes, Porsche and Volvo.
11;April 5, 2019;DealBook Briefing: Ray Dalio Says Capitalism ‘Needs to Be Reformed’;The economic system helped him build his investment empire. But now he says it’s broken.
12;April 5, 2019;A Price War Has Driven Fund Fees to Zero. They May Be Set to Drop Further.;Companies locked in a fierce competition for customers may end up paying people to invest. Low fees are a boon, but watch out, our columnist says: Nothing is really free.
13;April 6, 2019;Scheme to Swap Fake iPhones Adds Up to $900,000 Loss for Apple, Prosecutors Say;Two college students in Oregon are accused of tricking Apple into replacing nearly 1,500 counterfeit iPhones with genuine ones that were later sold.
14;April 7, 2019;Britain Proposes Broad New Powers to Regulate Internet Content;A growing number of countries are now eager to punish Facebook and other internet companies for harmful material on their platforms.
15;April 9, 2019;As Office Tenants Expect More Tech, Even the Windows Get Smart;To stay competitive, developers and landlords are being driven to add telecommunications infrastructure, video screens and, yes, glass that tints itself automatically.
16;April 10, 2019;Organizing Your Unwieldy Photo Collection Is Easier Than You Think;Here is the trick: Let your smartphone do the work.
17;April 10, 2019;Lifting Journalism by Knowing What Readers Are Looking For;Claudio E. Cabrera, who specializes in search engine optimization, describes how he keeps track of what’s hot in search and how that informs coverage — and what the limits are.
18;April 10, 2019;Net Neutrality Vote Passes House, Fulfilling Promise by Democrats;The legislation, called the Save the Internet Act, faces long odds in the Republican-led Senate.
19;April 10, 2019;Over 4,200 Amazon Workers Push for Climate Change Action, Including Cutting Some Ties to Big Oil;They say Amazon should stop offering custom cloud computing services that help the oil and gas industry explore for and extract more fossil fuels.
20;April 11, 2019;Gentlemen, Start Your Algorithms;A racetrack veteran compares the Self Racing Cars contest in California to hot-rod modders of old: “This event, with its hackers, tinkerers and engineers, is just like that.”
21;April 11, 2019;DealBook Briefing: What Bank C.E.O.s Said to Congress;The chiefs of seven huge American banks testified on Capitol Hill yesterday, and talked regulation, Russia, recession and more.
22;April 11, 2019;A Charity Accepts Uber Stock as Donations. Then Uses It to Pay Staff Bonuses. Is That O.K.?;Entrepreneurs who own stakes in private companies can donate some of their equity to Charity: water. The proceeds will eventually be paid out to the nonprofit’s employees.
23;April 12, 2019;He Has Driven for Uber Since 2012. He Makes About $40,000 a Year.;Peter Ashlock has completed 25,000 trips for Uber. As insiders cash in with what may be a $100 billion public offering, he’s on the road to nowhere.
24;April 12, 2019;In the Stock Market, Value Again Lags Growth;For a decade, value stocks have failed to surge ahead. Investing in them may be a smart move, but it is likely to require patience.
25;April 12, 2019;DealBook Briefing: Uber’s Growth Is Slowing;The company’s I.P.O. prospectus shows just how big the company is, but it also raises some large red flags to investors.
26;April 12, 2019;The Week in Tech: We Might Be Regulating the Web Too Fast;Conflicting national laws on harmful content could have unintended consequences for the global internet.
27;April 13, 2019;Google’s Sensorvault Is a Boon for Law Enforcement. This Is How It Works.;Investigators have been tapping into the tech giant’s enormous cache of location information in an effort to solve crimes. Here’s what this database is and what it does.
28;April 14, 2019;DealBook Briefing: Everything You Need to Know About the Pinterest I.P.O.;How much will the company be valued at? What can go wrong? Who stands to get rich? What does it mean for other I. P. O.s? Let us answer all those questions and more.
29;April 15, 2019;DealBook Briefing: Goldman Says Trump Could Squeak a Win in 2020;Economists at the bank think the president has a “narrow” advantage over Democratic challengers in his re-election bid.
30;April 16, 2019;YouTube Fact-Checks the Fire at Notre-Dame With Facts About ... 9/11;The company said that a misguided algorithm paired live footage of the blaze in Paris with information about the 2001 terrorist attacks.
31;April 16, 2019;How to Cover 2020: Assume Nothing and Beware of Twitter;Political journalists gathered in Chicago to discuss the mistakes of 2016 and how to avoid them the next time around.
32;April 17, 2019;The Most Measured Person in Tech Is Running the Most Chaotic Place on the Internet;YouTube’s C.E.O. spends her days contemplating condoms and bestiality, talking advertisers off the ledge and managing a property the size of Netflix.
33;April 17, 2019;DealBook Briefing: Apple and Qualcomm Kiss and Make Up;After two years of bitter patent battles across three continents, Apple and the chip maker Qualcomm have settled all of their disputes.
34;April 17, 2019;India Halts Downloads of TikTok Video App, Citing Harm to Children;TikTok is popular with children and young adults worldwide, but regulators are scrutinizing it, citing concerns about misuse and privacy.
35;April 17, 2019;Business Quietly Returns to Saudi Arabia After Khashoggi’s Murder;Six months after agents from Saudi Arabia dismembered the writer Jamal Khashoggi, investors are no longer shying away from doing business with the kingdom.
36;April 17, 2019;Pinterest Prices I.P.O. at $19 a Share, for a $12.7 Billion Valuation;The shares will begin trading Thursday on the New York Stock Exchange under the ticker symbol PINS.
37;April 18, 2019;DealBook Briefing: Business Heads Back to Saudi Arabia;Six months on from the Jamal Khashoggi tragedy, the international business community is revving up its work with the Arab kingdom.
38;April 19, 2019;The Wages of Being a Woman at Work;Let’s just say they’re a little low.
39;April 19, 2019;The Week in Tech: Do You Prefer Free Speech, or a Perfectly Clean Internet?;Automated policing of content will never be perfect, and that leaves us facing a big question about what we want the web to be like.
40;April 19, 2019;‘Medicare for All’ Is Hammering Health Care Stocks. For Now.;The popularity of proposals for a government-run, single-payer system among Democratic presidential candidates has hurt health care stocks, despite their strong earnings.
41;April 21, 2019;It’s U.S. vs. World as Big Tech Faces Specter of Limiting Speech Online;Many other countries are adopting or considering stricter moderation of online speech. But they don’t have to work around the First Amendment.
42;April 21, 2019;Zoom Video’s Stock Soared in Public Debut. So Did Zoom Technologies’.;Twitter, Tweeter. Nest, Nestor. Sometimes, shares in similarly named companies get caught up in the excitement of a deal or I.P.O.
43;April 22, 2019;DealBook Briefing: Tesla Wants You to Focus on Its Robo-Taxis (Not Its Finances);The electric-car maker plans to show off its latest self-driving vehicle technology, two days before it is expected to announce another quarterly loss.
44;April 22, 2019;Google Employees Say They Faced Retaliation After Organizing Walkout;Two Google workers who called for an employee protest over the company’s treatment of sexual harassment said they were demoted or told their role would change.
45;April 22, 2019;Elon Musk Predicts Tesla Driverless Taxi Fleet Next Year;Mr. Musk said Tesla cars would soon drive themselves and serve as robot taxis. But many experts think autonomous cars are at least several years away.
46;April 23, 2019;DealBook Briefing: Herman Cain Says the Fed Can’t Afford Him;The business man no longer wants to join the Fed’s board, citing a pay cut that would make others tell their boss “where to go.”
47;April 23, 2019;Wing, Owned by Google’s Parent Company, Gets First Approval for Drone Deliveries in U.S.;The company’s effort, approved by the Federal Aviation Administration, will be limited to parts of southwest Virginia.
48;April 24, 2019;DealBook Briefing: The Stock Markets Hit a Record High;Stock investors are looking beyond the threats of trade wars, softening economies and lackluster earnings to push the markets to new heights.
49;April 24, 2019;Ford to Invest $500 Million in Rivian, a Tesla Rival;Rivian is developing a pickup and an S.U.V. on a chassis that Ford plans to use for models of its own. Two months ago, Amazon led a $700 million investment.
50;April 24, 2019;Sliding Backward on Tech? There Are Benefits;Pamela Paul, editor of The New York Times Book Review, decided to downgrade her tech two years ago. It has worked out, with paper and DVDs instead of the latest apps and gizmos.
51;April 24, 2019;Facebook Expects to Be Fined Up to $5 Billion by F.T.C. Over Privacy Issues;Facebook and the agency have been in negotiations over a financial penalty for claims that the company violated a 2011 consent decree.
52;April 25, 2019;DealBook Briefing: Is a $5 Billion Facebook Fine Enough?;The social network expects to pay the F.T.C. a huge fine for privacy violations, but critics say that further action is required.
