;date;title;summary
0;Aug. 1, 2018;Stumbles? What Stumbles? Big Tech Is as Strong as Ever;Facebook’s earnings report sent tech stocks cratering. But don’t let that fool you: Apple, Google, Facebook, Amazon and Microsoft are still on their way to dominating the future.
1;Aug. 1, 2018;DealBook Briefing: Facebook Is Acting Fast on Election Meddling This Year;In sharp contrast with its approach to interference in the 2016 presidential race, the social network is making security moves publicly ahead of the midterms.
2;Aug. 1, 2018;Gaza and Google Translate: Covering the Conflict When You Don’t Speak the Language;David M. Halbfinger, The Times’s Jerusalem bureau chief, found Google Translate useful in Israeli and Palestinian territory, but Waze sometimes reaches a dead end.
3;Aug. 1, 2018;Google, Seeking a Return to China, Is Said to Be Building a Censored Search Engine;Google withdrew from China in 2010 to protest the country’s censorship. Now the internet giant is working on a search engine that complies with Chinese censorship rules.
4;Aug. 1, 2018;Autoplay Videos Are Not Going Away. Here’s How to Fight Them.;Videos that start without your consent are prominent across the web. Our tech columnist explains how the industry got here and what we can do.
5;Aug. 2, 2018;As Google Maps Renames Neighborhoods, Residents Fume;Google’s digital maps have become the world’s default atlas and the arbiter of what neighborhoods are called, even when many residents disagree.
6;Aug. 2, 2018;DealBook Briefing: Google in China Is No Done Deal;There are still large barriers ahead if the company really does plan to launch search and news services in the country.
7;Aug. 2, 2018;Scrub Your Android Tablet Before Handing It Down;Before giving your device to a family member or selling it to someone else, be sure to erase all the content and remove your accounts.
8;Aug. 2, 2018;Sonos Feels the Trade War in Its Lackluster I.P.O.;The speaker maker’s shares fell short in their public debut, dragged down in part by fears that its product will be hit by a new wave of tariffs.
9;Aug. 2, 2018;Apple’s $1 Trillion Milestone Reflects Rise of Powerful Megacompanies;Apple is part of a group of giant companies that dominate the United States economy. That is good for financial markets, but not necessarily for everyone else.
10;Aug. 3, 2018;DealBook Briefing: The Trouble With a $1 Trillion Apple;Apple has become the first publicly traded American company to be worth $1,000,000,000,000. It’s not all good news.
11;Aug. 3, 2018;The Basic Ingredients for Your Podcast Recipe;Making your own audio show can be fun and relatively inexpensive, but you should have a plan and get the right gear before you hit the Record button.
