;date;title;summary
0;June 1, 2020;Facebook Employees Stage Virtual Walkout to Protest Trump Posts;While Twitter started labeling some of the president’s inflammatory messages, Facebook’s chief executive, Mark Zuckerberg, has said his company should leave them alone.
1;June 2, 2020;Protests Captured Unfiltered;Twitter and Facebook enable truth telling, but there are also downsides to having no gatekeepers.
2;June 2, 2020;Trump Administration Escalates Global Fight Over Taxing Tech;The U.S. investigation targets nine countries, plus the European Union, that have adopted or are considering new taxes that would hit American companies like Google and Amazon.
3;June 2, 2020;Suit Claims Google’s Tracking Violates Federal Wiretap Law;The complaint said Google tracked and collected users’ browsing history even if they took steps to maintain their privacy.
4;June 3, 2020;Corporate Hashtag Activism;Brands are trying to show solidarity with customers’ strongly held values without giving offense.
5;June 4, 2020;Tech Is Global. Right?;The internet is evolving from a homogeneous blob into something more like the diverse world.
6;June 4, 2020;Google’s European Search Menu Draws Interest of U.S. Antitrust Investigators;To placate European regulators, the company started giving Android phone users a choice in search engines when they set up their devices.
7;June 5, 2020;Did Mom Take Her Medicine? Keeping Eyes on Elders in Quarantine;Technology can help families monitor the health and safety of older people kept from their families by the coronavirus.
8;June 5, 2020;Are We Past the Peak of Unemployment?;The worst may be over for the U.S. labor market, but the pandemic has made forecasting even harder than usual.
9;June 5, 2020;Don’t Kid Yourself: Online Lectures Are Here to Stay;The economic forces are too powerful for virtual instruction to go away after the pandemic. The important question is who will benefit financially, a Cornell economist says.
10;June 5, 2020;The Complex Debate Over Silicon Valley’s Embrace of Content Moderation;Many in tech cheered when Twitter added labels to President Trump’s tweets. But civil libertarians caution that social media companies are moving into uncharted waters.
11;June 5, 2020;An S.O.S. for Listening at Home;Practical advice for a new home speaker — and not the creepy kind.
12;June 6, 2020;‘Corporate America Has Failed Black America’;For a group of elite black executives, police killings and protests have unleashed an outpouring of emotion and calls for action.
13;June 7, 2020;Inside the Revolts Erupting in America’s Big Newsrooms;Staff members’ demands helped end the tenure of James Bennet as Opinion editor of The New York Times. And they are generating tension at The Washington Post. Part of the story starts in Ferguson, Mo.
14;June 8, 2020;The Idea: Build It, and They Can Find Coronavirus Tests;Three start-up veterans who created an online directory of testing sites are among a wave of volunteers contributing to the virus fight.
15;June 8, 2020;How to Reduce Credit Card Fraud;There’s been an explosion in online credit card fraud. Here’s how you can protect yourself.
16;June 8, 2020;Refinery29 Editor Resigns After Former Employees Describe ‘Toxic Culture’;The editor, Christene Barberich, said she had decided to leave after reading accounts by black women and other women of color who said they had faced discrimination at the company.
17;June 9, 2020;A U.S. Secret Weapon in A.I.: Chinese Talent;New research shows scientists educated in China help American firms and schools dominate the cutting-edge field. Now industry leaders worry that worsening political tensions will blunt that edge.
18;June 9, 2020;A Case for Banning Facial Recognition;A Google research scientist explains why she thinks the police shouldn’t use facial recognition software.
19;June 9, 2020;‘Morally Impossible’: Some Advertisers Take a Timeout From Facebook;Ever since Mark Zuckerberg defended the platform’s hands-off policy toward posts by President Trump that contained misinformation or promoted violence, some companies are staying away.
20;June 10, 2020;Amazon Pauses Police Use of Its Facial Recognition Software;The company said it hoped the moratorium “might give Congress enough time to put in place appropriate rules” for the technology.
21;June 11, 2020;Amazon Set to Face Antitrust Charges in European Union;The European Commission plans to bring charges that Amazon abused its dominance in e-commerce.
22;June 11, 2020;When Amazon Flexes Its Power;Are big tech companies now too powerful to play fair?
23;June 12, 2020;For Online Learning, Business Has Never Been Better;Demand for Chegg roughly doubled when schools shut down, but its chief executive, Dan Rosensweig, now needs to figure out how the company will adapt.
24;June 12, 2020;The Work Diary of Gray Malin, Locked-Down ‘Getaway’ Photographer;Unable to shoot beach scenes out of a helicopter, he’s exploring his archive and selling puzzles online.
25;June 12, 2020;A Barware Company for the Pros Adds Amateurs to the Mix;When its equipment sales to bars and restaurants plummeted during the pandemic, Cocktail Kingdom successfully turned to consumers.
26;June 12, 2020;Amazon Said to Be Under Scrutiny in 2 States for Abuse of Power;Inquiries in California and Washington are a sign that the scrutiny of the tech giant continues to intensify.
27;June 13, 2020;The Economy Is Reeling. The Tech Giants Spy Opportunity.;Many companies are retreating. But Amazon, Apple, Facebook, Google and Microsoft are placing bets to get even bigger.
28;June 14, 2020;The Week in Business: The Second Wave Is Coming;How bad will it be?
29;June 14, 2020;Life on the Road in Pandemic America;Truck stops instead of motels, hand sanitizer instead of candy and 16 tanks of fuel to buy an oddball van and drive it home.
30;June 14, 2020;Newsrooms Are in Revolt. The Bosses Are in Their Country Houses.;Those who can afford it left the city, shining a spotlight on class divisions in the media.
31;June 15, 2020;Stocks Climb After Fed Details Bond-Buying Plan;The latest on stock market and business news during the coronavirus outbreak.
32;June 15, 2020;Amazon Says Jeff Bezos Is Willing to Testify Before Congress;Lawmakers had requested that he testify as part of their antitrust investigation into the big tech companies.
33;June 15, 2020;One Restaurant’s Survival Guide;This restaurant was forced to get creative with its use of technology — and to forgo the apps.
34;June 15, 2020;L.G.B.T.Q. Rights Ruling Pushes Workplace Dynamic Already in Motion;The Supreme Court decision gives plaintiffs leverage, but companies large and small are still expected to face legal cases over their policies.
35;June 16, 2020;Riding Out Quarantine With a Chatbot Friend: ‘I Feel Very Connected’;The digital companions may sound like science fiction. But when social isolation became the norm, they helped deal with the loneliness, some users say.
36;June 16, 2020;Apple’s App Store Draws Antitrust Scrutiny in European Union;After complaints from rivals including Spotify, European authorities will investigate Apple’s App Store.
37;June 16, 2020;Conviction in the Philippines Reveals Facebook’s Dangers;The conviction of the journalist Maria Ressa shows that Facebook’s harms can’t be ignored.
38;June 17, 2020;A Four-Point Plan for Fixing the Economy;A heavyweight group of economists and former policymakers have outlined a flexible approach to supporting the recovery not tied to any specific date.
39;June 17, 2020;Tackling the Unsolvable Problem: The Bottomless Email Inbox;For $99 a year, Hey wants to help us restore some control. The new service has a way to go — and so does email, come to think of it.
40;June 17, 2020;Justice Dept. Urges Rolling Back Legal Shield for Tech Companies;The agency said that Congress should repeal parts of a law that has been crucial for the growth of companies like Facebook and Twitter.
41;June 17, 2020;The Internet’s Most Censored Space;Apple’s app store shows we can be fine with digital zones that ditch the myth of free expression.
42;June 18, 2020;Apple Rejects Facebook’s Gaming App, for at Least the Fifth Time;Apple has repeatedly denied Facebook’s new Gaming app from appearing in its App Store, citing its own rules.
