;date;title;summary
0;Dec. 1, 2016;Q. & A.: How to Get Your Finances Ready for 2017;Ron Lieber answered reader questions about personal finance and getting ready to have a financially successful 2017.
1;Dec. 2, 2016;The Built-In Accessibility Features of iOS;Apple’s software comes with several features to make the technology work for all users.
2;Dec. 2, 2016;Ads Show Up on Breitbart and Brands Blame Technology;How does a progressive company find itself pitched on a hard-right website? A third-party ad network is using consumer data and targeting technology.
3;Dec. 2, 2016;Silicon Valley Chiefs Notably Absent From Trump’s Cabinet of Business Advisers;The President’s Strategic and Policy Forum is a bipartisan mix of business executives drawn from the worlds of finance, media and manufacturing.
4;Dec. 3, 2016;Farhad’s and Mike’s Week in Tech: More Debate Over Facebook’s Role in Media;Questions continue to swirl over Facebook’s handling of fake news stories and a tool it created that could potentially be used to censor content in China.
5;Dec. 4, 2016;Silicon Valley’s Culture, Not Its Companies, Dominates in China;China’s internet filters block many of Silicon Valley’s biggest companies but have done little to stanch a Chinese obsession with its culture.
6;Dec. 4, 2016;Mexico to Auction Oil and Gas Blocks as Aetna Defends Merger in Court;Petróleos Mexicanos is seeking capital and expertise to develop deepwater reserves. In Washington, Aetna and Humana face opposition from the Justice Department over their proposed $37 billion deal.
7;Dec. 4, 2016;SoftBank’s Masayoshi Son Chases First Place With Tech Deals;With two ambitious projects, Masayoshi Son, who created the parent company of Sprint, bets big on having a say in an increasingly mobile world.
8;Dec. 5, 2016;Uber Bets on Artificial Intelligence With Acquisition and New Lab;With the Geometric Intelligence deal, Uber wants to make major advances in how the computers behind self-driving vehicles think and make decisions on the road.
9;Dec. 5, 2016;Fashion’s Future, Printed to Order;Ray Kurzweil, a director of engineering at Google, believes people will be 3-D printing bespoke clothing in their homes by 2020.
10;Dec. 5, 2016;Daily Report: China Dreams of Silicon Valley;Move fast, break things, get back on the tour bus: The world’s tech capital is a tourist destination, too.
11;Dec. 5, 2016;Facebook and Other Tech Companies Seek to Curb Flow of Terrorist Content;Facebook, Google, Twitter and Microsoft announced they have teamed up to fight the spread of such content online by sharing technology and information.
12;Dec. 6, 2016;Europe Presses American Tech Companies to Tackle Hate Speech;A report published by European officials said that only 40 percent of online material flagged as offensive was reviewed within 24 hours.
13;Dec. 6, 2016;Google Says It Will Run Entirely on Renewable Energy in 2017;The internet giant has spent years migrating the source of electric power at its giant data centers to sources like wind turbines and solar panels.
14;Dec. 6, 2016;The Top Political Tweets and Hashtags of 2016;Twitter announced the year’s biggest topics and tweets in news and politics, but matters of identity and safety were also prominent.
15;Dec. 6, 2016;Instagram Introduces New Tools Meant to Curb Abuse and Expand Privacy;Instagram users will soon be able to remove comments and filter out certain followers.
16;Dec. 6, 2016;Daily Report: Google’s Renewable Cloud;The owners of the world’s largest network say it will soon run 100 percent on renewable power. There are business reasons for this.
17;Dec. 6, 2016;Supreme Court Gives Samsung a Reprieve in Apple Patent Case;A unanimous court ruled on Tuesday that Samsung may not have to pay $399 million in damages for copying parts of the iPhone’s distinctive look.
