;date;title;summary
0;July 1;TikTok tells Republican senators how it plans to keep American data away from China.;“We know we are among the most scrutinized platforms from a security standpoint,” the video app’s chief executive wrote.
1;July 1;Google Says It Will Delete Location Data When Users Visit Abortion Clinics;Under pressure from employees and supporters of reproductive rights, the company announced privacy changes for the post-Roe era.
2;July 2;When Where You Work Determines if You Can Get an Abortion;After the Dobbs v. Jackson decision, many women are discovering that their employer can shape major decisions in their lives even more than it did a week ago.
3;July 3;3-D Printing Grows Beyond Its Novelty Roots;With the technology improving and costs falling, 3-D printing could be poised to play a major role in manufacturing.
4;July 5;Twitter, Challenging Orders to Remove Content, Sues India’s Government;Twitter’s lawsuit is part of a broadening battle between the biggest tech companies and governments around the world over who gets to control information and how.
5;July 5;Lawmakers ask F.T.C. chair to investigate TikTok’s data practices.;Questions are surfacing once again about whether TikTok poses a national security threat because it is owned by a Chinese company.
6;July 6;A Darkened Outlook for Britain;The political instability comes as Britain gears up for a difficult summer, amid surging energy prices and labor shortages.
7;July 6;The Latin of Software Code Is Thriving;Next time you laugh at musty old tech, remember that new technologies are often built on it.
8;July 6;Steam Deck Review: A Game Console for the Quintessential Gamer;This new hand-held gaming device by Valve is lots of fun. But perhaps not as much if you’re a casual gamer.
9;July 7;Siberia or Japan? Expert Google Maps Players Can Tell at a Glimpse.;In a game called GeoGuessr, competitors try to pinpoint where in the world a Google Street View image has been taken. Some can do it in seconds.
10;July 7;How Wish Built (and Fumbled) a Dollar Store for the Internet;The number of users has plummeted, and its stock price has dropped. Former employees point to an emphasis on short-term growth over customer service.
11;July 7;Tech Is Not Representative Government;And yet, we demand that it protect us.
12;July 8;Even in Death, Internet Explorer Lives On in South Korea;Why a country known for blazing broadband and innovative devices remains tethered to a browser that most of the world abandoned long ago.
13;July 12;Advanced E.V. Batteries Move From Labs to Mass Production;Makers of batteries that could charge in a few minutes are setting up assembly lines, bringing the technology a big step closer to auto showrooms.
14;July 13;In a Post-Roe World, the Future of Digital Privacy Looks Even Grimmer;The sheer amount of tech tools and knowledge required to discreetly seek an abortion underlines how wide open we are to surveillance.
15;July 13;Online Shopping Is Bananas Confusing;How much we buy online affects the whole economy, but right now there are lots of question marks.
16;July 13;Netflix turns to Microsoft to help build its new ad-supported service.;The streaming giant hopes a less expensive offering will boost subscription numbers, which have dropped for the first time in a decade.
17;July 14;Amazon Moves to End a Long-Running Antitrust Case in Europe;The retail giant said it would stop collecting nonpublic data on rivals and give merchants more ways to reach customers.
18;July 14;Biden, Oil and the Middle East;Under pressure as tight oil supplies hurt the U.S. economy, Biden will go to Saudi Arabia for a meeting with M.B.S.
19;July 14;The Tech Magic That Unleashed Your Best;Our readers tell us about the surprising ways in which tech has helped them discover new worlds.
20;July 15;Stock Market Drop Accelerated as Recession Seemed More Likely;Further losses may be on the way, even after a 20 percent drop in the first half of the year, as Wall Street continues to price in the Fed’s aggressive interest rate policy.
21;July 19;Can a ‘Magic’ Protein Slow the Aging Process?;Elevian is one of several companies searching for ways to increase life span — in this case, using a protein called GDF11. But challenges lie ahead.
22;July 19;Amazon sues leaders of more than 10,000 Facebook groups it says churn out fake reviews.;The e-commerce site said the groups targeted its sites in the United States, Britain, France, Germany, Italy, Spain and Japan.
23;July 21;How Software Is Stifling Competition and Slowing Innovation;A tech entrepreneur turned academic takes on the “disruption myth.” Big companies, he argues, have built software moats against rivals.
24;July 21;Amazon to acquire One Medical clinics in latest push into health care.;The $3.9 billion deal is Amazon’s latest acquisition in the health care industry. In 2018, it acquired PillPack, an online pharmacy.
25;July 21;You Can Be Both Dull and Innovative;Take roof trusses.
26;July 21;YouTube will take down ‘unsafe’ abortion how-to videos.;The video service said it would take a closer look at the abortion content on its platform.
27;July 22;Inside Ukraine’s Thriving Tech Sector;Ukrainian technology companies have earned billions. But with most executives unable to meet foreign clients, the good times may not last.
28;July 22;Twitter’s earnings falter as it fights with Elon Musk.;The social media company swung to a loss in the second quarter and cited “uncertainty” over its pending takeover by the billionaire Tesla chief executive as a factor.
29;July 22;Why You Should Be Wary of Wall Street’s Upbeat Stock Forecasts;Amid rising inflation and the threat of recession, corporate earnings are coming under pressure.
30;July 23;Google Fires Engineer Who Claims Its A.I. Is Conscious;The engineer, Blake Lemoine, contends that the company’s language model has a soul. The company denies that and says he violated its security policies.
31;July 24;Why Big Tech Is Making a Big Play for Live Sports;Competing for rights to broadcast games from the N.F.L. and other leagues could be hard for broadcast and cable companies that “aren’t playing by the same financial rules.”
32;July 25;Cooling the Economy Without Crushing It;Several signs of economic stress may keep the Fed from raising interest rates to a full percentage point.
33;July 25;Tesla will spend more to increase production at two new factories.;Tesla said it expected capital expenditures to be $6 billion to $8 billion in 2022, up from an April forecast of $5 billion to $7 billion.
34;July 26;Will China Move on Taiwan?;An escalation from Beijing would have far-reaching economic consequences.
35;July 26;‘Operating With Increased Intensity’: Zuckerberg Leads Meta Into Next Phase;Facebook’s founder is setting a relentless pace as he pushes his company through a tech transformation during a global economic slowdown.
36;July 26;Will Streaming Save Sports or Kill It?;Sports are the lifeblood of TV but also choking it. Big Tech is following a similar playbook.
37;July 26;Alphabet’s profit dropped 14 percent in the second quarter.;The earnings by Google’s parent company were below analysts’ expectations of $17.5 billion in net profit on $69.9 billion in revenue.
38;July 27;The Default Tech Settings You Should Turn Off Right Away;These controls, which are buried inside products from Apple, Google, Meta and others, make us share more data than we need to.
39;July 27;Big Tech and the Fed;Some tech companies’ earnings are flagging, in what could be a positive sign for the Federal Reserve.
40;July 27;So Much Tech. So Few Winners.;Technology is everything. Why are there hardly any blockbuster tech companies of the smartphone age?
41;July 27;F.T.C. Sues to Block Meta’s Virtual Reality Deal as It Confronts Big Tech;The move is a potential blow to Meta’s metaverse efforts and signals a shift in how the Federal Trade Commission is approaching tech deals.
42;July 27;Meta reports first revenue decline and a 36 percent profit drop.;It was the first time the social media giant’s revenue had fallen since it went public a decade ago, as it confronts increased regulatory scrutiny and a turbulent economy.
43;July 28;The Fed Won’t Say the ‘R’ Word;Chair Jerome Powell was asked in every way possible whether the economy was in, or headed toward, a recession.
44;July 28;The Word of the Year Is ‘Uncertainty’;Did tech win the pandemic or not? We likely won’t be able to tell for a while.
45;July 28;F.T.C. Chair Upends Antitrust Standards With Meta Lawsuit;Lina Khan may set off a shift in how Washington regulates competition by filing cases in tech areas before they mature. She faces an uphill climb.
46;July 28;Apple Continues to Grow, but Profits Drop as Costs Rise;The iPhone maker said it was hurt by Covid-related shutdowns of factories in Shanghai but benefited from its growing services business.
47;July 28;Big Tech Is Proving Resilient as the Economy Cools;Tech companies are slowing their frenetic hiring, but a combination of dominance and diversity is turning out to be — yet again — an overwhelming asset.
