;date;title;summary
0;April 2, 2021;Biden’s Plan to Fix America’s Internet;The White House proposal is essentially a statement that what we’re doing now is not working.
1;April 2, 2021;The C.E.O. of the self-driving car company Waymo will step down after more than 5 years.;The chief executive duties will be divided between two current company executives — Tekedra Mawakana and Dmitri Dolgov.
2;April 5, 2021;Amazon’s Clashes With Labor: Days of Conflict and Control;Amazon was built on an underdog philosophy, but its workers are finding a voice. That presents a problem for the company that goes far beyond the union vote in Alabama.
3;April 5, 2021;Companies Can’t Stay on the Political Sidelines;The fight over voting rights shows corporate leaders face pressure to speak out even in the post-Trump era.
4;April 6, 2021;Is Big Business the Democrats’ New Best Friend?;When C.E.O.s speak out against Republican priorities, it isn’t the flip-flop of alliances it appears to be.
5;April 6, 2021;Corporate America’s Not-So-New Allies;Democrats are coming to business’ political aid over social issues. That’s not as big a shift as it might seem.
6;April 6, 2021;Local Alliances Put Some Cities on the Fast Track to Recovery;Economic development agencies have created comeback plans for several midsize cities that will position them to quickly rebound from the pandemic.
7;April 6, 2021;Google Won. So Did Tech.;In siding with Google, the Supreme Court gave software experts some love.
8;April 6, 2021;Electric Aircraft Start-Up Accuses Rival of Stealing Its Secrets;A lawsuit by Wisk, partly owned by the Google co-founder Larry Page, says two engineers took sensitive files before joining Archer.
9;April 7, 2021;Job Training That’s Free Until You’re Hired Is a Blueprint for Biden;Social Finance, a nonprofit, is spreading a model in which training programs get paid if students get hired, not just if they enroll.
10;April 7, 2021;JPMorgan’s Chief Sees a Boom Coming;Jamie Dimon tells the bank’s investors to prepare for an economic upswell.
11;April 7, 2021;Jamie Dimon predicts an economic boom that ‘could easily run into 2023.’;In his annual letter to shareholders, the chief executive of JPMorgan Chase weighed in on the nation’s economy, climate change and tax loopholes.
12;April 7, 2021;5 Ways to Tap Into Your Smartphone’s Audio Powers;A virtual assistant is just one tool that lets you use your voice to share your thoughts, capture a moment or just get things done.
13;April 8, 2021;After Pandemic, Shrinking Need for Office Space Could Crush Landlords;Some big employers are giving up square footage as they juggle remote work. That could devastate building owners and cities.
14;April 8, 2021;From the Charred Wreck of a Lamborghini, a D.I.Y. Supercar;It’s still not cheap, and it’ll take some skill, but finding the totaled car of your dreams and rebuilding it can give you bragging rights, and a sweet new ride.
15;April 8, 2021;A British banking start-up will allow workers to work abroad for up to 2 months a year.;Revolut joins a growing list of companies that will permit employees to work from anywhere. (Even a Mediterranean beach.)
16;April 9, 2021;As Bond Yields Rise, Stocks Remain Buoyant, for Now;A jump in long-term interest rates may lead investors to question how much control the Federal Reserve has over the economy and markets.
17;April 9, 2021;China Fines Alibaba $2.8 Billion in Landmark Antitrust Case;The penalty is the biggest move to date in China’s campaign to tighten supervision of its internet Goliaths.
18;April 10, 2021;Inside the Fight for the Future of The Wall Street Journal;A special team led by a high-level manager says Rupert Murdoch’s paper must evolve to survive. But a rivalry between editor and publisher stands in the way.
19;April 10, 2021;Why Buy a Yacht When You Can Buy a Newspaper?;Billionaires aren’t usually cast as saviors of democracy. But one way they are winning plaudits for civic-minded endeavors is by funding the Fourth Estate.
20;April 10, 2021;The Wall Street Journal’s Internal Audit;A look at what the newsroom’s internal study — The Content Review — concluded about the paper’s faults.
21;April 12, 2021;Alibaba’s Big Fine Is a Warning Shot;Beijing regulators are sending a message to Chinese internet giants.
22;April 12, 2021;Defying Republicans, Big Companies Keep the Focus on Voting Rights;A coalition of law firms has joined business leaders in wanting to use their clout to oppose state legislation that would make it harder to vote.
23;April 12, 2021;Microsoft to Buy Nuance for $16 Billion to Focus on Health Care Tech;By acquiring a provider of artificial-intelligence software, the tech giant is hoping to bolster its offerings for the fast-growing field of medical computing.
24;April 12, 2021;Hearing Aids for the Masses;Relatively simple technology and a change in government policy could unleash more innovation for Americans who have difficulty hearing.
25;April 12, 2021;Amid a chip shortage, the White House gathers business leaders to discuss supplies.;The global semiconductor shortage has disrupted auto production in the United States and elsewhere.
26;April 13, 2021;‘Master,’ ‘Slave’ and the Fight Over Offensive Terms in Computing;Nearly a year after the Internet Engineering Task Force took up a plan to replace words that could be considered racist, the debate is still raging.
27;April 13, 2021;Markets Fret Over Halt to Johnson & Johnson’s Vaccine;Shares were down after health officials paused use of the shot over safety fears.
28;April 13, 2021;The Next Level in Office Amenities: Wild Horses;The mustangs at a Nevada office park are an example of the outrageous perks that businesses dangle to impress job candidates, but wildlife advocates are pushing back on efforts to market them.
29;April 13, 2021;New York Times tech workers form a union.;The group of more than 650 workers at the company includes software engineers, designers, data analysts and product managers.
