;date;title;summary
0;May 1, 2020;Bored at Work? The Solution Involves a Small Orange Man;Plus: Once we all get back to work, let’s give our pets a vacation. Forever.
1;May 1, 2020;Jeff Bezos Doubles Down on Amazon’s Pandemic Response;Amazon’s chief said that pandemic-related expenses would consume all profits in the current quarter — and that it was part of a deliberate strategy.
2;May 1, 2020;Congress Calls on Jeff Bezos of Amazon to Testify;Lawmakers want to question Mr. Bezos, Amazon’s chief executive, as part of its antitrust investigation.
3;May 1, 2020;Big Tech’s Worries Should Worry You;When the most successful companies are anxious, you know we’re in scary times.
4;May 2, 2020;‘I Could Solve Most of Your Problems’: Eric Schmidt’s Pentagon Offensive;The former Google C.E.O. has reinvented himself as the prime liaison between Silicon Valley and the military-industrial complex.
5;May 3, 2020;The Week in Business: Who’s Ready to Go Shopping?;The country’s economy is starting to reopen. But health officials warn against moving too fast.
6;May 3, 2020;How a New Breed of Union Activists Is Changing the Rules (and Newsrooms);Cheered on by Representative Alexandria Ocasio-Cortez and others, a new generation is making gains on everything from layoff protections to gender-neutral pronouns. Can they help save the industry?
7;May 4, 2020;An Amazon Vice President Quit Over Firings of Employees Who Protested;Tim Bray, an engineer who had been a vice president of Amazon’s cloud computing arm, said the firings were “evidence of a vein of toxicity running through the company culture.”
8;May 4, 2020;When Tech Helps the Vulnerable;Tens of millions of Americans have lost their jobs. Here’s how one tech company is helping.
9;May 5, 2020;Trouble Ahead: More Deals Are Falling Apart;The sudden collapse of deals that seemed destined to close, like the private equity buyout of Victoria’s Secret, sends an ominous signal.
10;May 5, 2020;After a Terrible First Quarter, Executives Offer Some Hope;While the pandemic has made it hard to offer forecasts, some corporate leaders said things might be getting a little better — or at least no worse.
11;May 6, 2020;How My Boss Monitors Me While I Work From Home;As we shelter in place in the pandemic, more employers are using software to track our work — and us.
12;May 6, 2020;Apple iPhone SE Review: A Superb Smartphone for a Humble Price;For $399, this smartphone hits the high notes: speedy, a great camera and a nice screen. Took long enough, didn’t it?
13;May 7, 2020;After the Bailouts, Will Taxes Go Up?;BlackRock’s C.E.O., Larry Fink, is worried about what happens when the bill for government rescues comes due.
14;May 7, 2020;News Outlets Want More Advertisers to Act Like Burger King;The Home of the Whopper, Verizon and Amazon are among the relative few that haven’t been afraid to run ads near coverage of the coronavirus.
15;May 7, 2020;Zoom, Xoom, Zum: Why Does Every Start-Up Sound Fast Now?;An investigation into Zoomd, Zoomi, Zoomy and Zoomies. Also, Zoomin. And Zoomvy and Zoomly. And …
16;May 8, 2020;White-Collar Companies Race to Be Last to Return to the Office;Google, Facebook, Amazon, Capital One and others are extending work-from-home policies to September and sometimes far beyond.
17;May 10, 2020;Big Tech Has Crushed the News Business. That’s About to Change.;News organizations have long hoped that tech platforms would pay them for news. Now regulators abroad are moving to make that happen.
18;May 11, 2020;Elon Musk Is ‘Not Messing Around’;The Tesla C.E.O.’s dispute with California foreshadows a potential clash between businesses and states over public health measures.
19;May 11, 2020;Let’s Clean Up the Toxic Internet;If we understand how conspiracy theories spread online, we can help stop them.
20;May 12, 2020;This Was Supposed to Be the Year Driverless Cars Went Mainstream;Perfecting the technology has taken longer than expected. The coronavirus pandemic has made it even more difficult.
21;May 13, 2020;The Pandemic Work Diary of Netflix’s Queer Champion;“Joining the ranks of every other clichéd gay in L.A.,” Fran Tirado is writing scripts and monitoring the platform’s L.G.B.T.Q. content.
22;May 13, 2020;A Guide to Pandemic Scams, and What Not to Fall For;Fraudsters see opportunities to target us in these uncertain times. Here are their most popular schemes and how we can protect ourselves.
23;May 13, 2020;Uber’s Bid for Grubhub Shows That Deals Aren’t Dead Yet;Mergers are taking a hit during the pandemic, but there’s still an appetite for certain types of transactions.
24;May 13, 2020;Where Is My Driverless Car?;The technology is tricky, and driverless cars may never fix all the problems we hoped they would.
25;May 14, 2020;China’s ‘OK Boomer’: Generations Clash Over the Nation’s Future;A commercial extolling Chinese youths has set off a debate over whether they are too nationalistic — and their prospects too limited — for the country’s good.
26;May 15, 2020;Using Tech to Teach — Smartly;Technology — if we keep it in its place — can empower creative teachers to shine.
27;May 15, 2020;Amazon Makes No Promises on Bezos Testimony;The company said it would be happy to send someone to testify. But it never mentions Jeff Bezos.
28;May 15, 2020;U.S. Is Said to Plan to File Antitrust Charges Against Google;The case may be joined by state attorneys general in what would be one of the biggest antitrust actions by the United States since the late 1990s.
29;May 18, 2020;Jack Ma Quits SoftBank;The Alibaba founder stepped down from SoftBank’s board on the day it posted a huge loss, dragged down by its once-vaunted technology investment fund.
30;May 18, 2020;Inside Mark Zuckerberg’s Brain;What Facebook’s C.E.O. is doing to confront the coronavirus — and what he’s afraid of.
31;May 19, 2020;Tesla Owners Try to Make Sense of Elon Musk’s ‘Red Pill’ Moment;A liberal status symbol now has a founder who is moving to the right.
32;May 19, 2020;The Hot New Thing in Clubby Silicon Valley? An App Called Clubhouse;For all the high-minded talk among techies, their new favorite app is an invite-only (so far) social network for mingling with one another.
33;May 20, 2020;A City Locks Down to Fight Coronavirus, but Robots Come and Go;Like many other places, a community 50 miles outside London went into quarantine. A fleet of delivery robots has been helping with the groceries.
34;May 20, 2020;Everything You Need to Know About Slow Internet Speeds;Our crummy connections are the biggest tech headache in the pandemic. Here’s a comprehensive guide to what to do about them.
35;May 20, 2020;You Don’t Need Flying Cars to Save Lives;Technology with potentially the biggest impact is often humdrum stuff that drags businesses and government agencies into the age of Google Maps and Zoom.
36;May 20, 2020;Pandemic-Baking Britain Has an ‘Obscene’ Need for Flour;The Wessex Mill in Oxfordshire, a family business started 125 years ago, is among the British mills striving to meet a surge in demand.
37;May 21, 2020;Many Facebook Employees to Work From Home Permanently;Unemployment Claims Continue to Rise in U.S.
38;May 21, 2020;Facebook Starts Planning for Permanent Remote Workers;The move is a stark change from an office-centric culture. But there’s a catch: Salaries are likely to change to match local costs of living.
39;May 22, 2020;What Happened to the Great American Logistics Machine?;Nobody could make supply chains sing like the United States. And now maybe nobody can, period.
40;May 22, 2020;Mark Zuckerberg Rethinks the Office;Facebook said that half of its employees could work remotely within a decade, the latest company to suggest that virtual working will become the norm.
41;May 22, 2020;Grandmother’s Refusal to Remove Photos From Facebook Tests Privacy Law;A Dutch court ruled a woman violated Europe’s General Data Protection Regulation after refusing to take down photos of her grandchildren from social media.
42;May 22, 2020;Why All the Shouting About Google?;Here’s the one question that matters: Does Google rig the system to squash its rivals and hurt us?
43;May 23, 2020;A Feud in Wolf-Kink Erotica Raises a Deep Legal Question;What do copyright and authorship mean in the crowdsourced realm known as the Omegaverse?
44;May 24, 2020;The Week in Business: The End of the Office as We Know It;The economy is reopening, but office buildings remain empty — and may stay that way, permanently.
45;May 26, 2020;Remember the MOOCs? After Near-Death, They’re Booming;The pioneering online learning networks offer hard-earned lessons for what works and what doesn’t with online education.
46;May 26, 2020;Keeping Clients Fit During the Pandemic by Going Virtual;What to do with a business that involves close physical contact with clients? Innovate and, if you’re lucky, grow — but at a distance.
47;May 27, 2020;Reopening Optimism Helps Wall Street;The latest on stock market and business news during the coronavirus outbreak.
48;May 27, 2020;Space Out and Explore the Universe Without Leaving Home;If NASA’s new 2020 missions have inspired an interest in science and celestial objects, these apps and sites can open a whole new batch of worlds.
49;May 27, 2020;How Do I Get HBO Max if I Already Have HBO?;Almost 35 million people have HBO. But not all of them can get HBO Max. Here’s what you need to know.
50;May 27, 2020;‘Just Sitting in Limbo.’ For Many Professionals, Careers Are on Hold.;Even for well-connected high earners, hiring has dried up, advancement has ceased, job searches have paused and new ventures are in jeopardy.
51;May 28, 2020;U.S. Jobless Claims Pass 40 Million: Live Business Updates;The latest on stock market and business news during the coronavirus outbreak.
52;May 28, 2020;Legal Shield for Social Media Is Targeted by Lawmakers;Section 230, from a 1996 federal law, was meant to protect young internet companies from liability. Lawmakers have threatened to change it.
53;May 28, 2020;Defying Trump, Twitter Doubles Down on Labeling Tweets;Twitter continued fact-checking posts even as President Trump threatened to limit protections for social media companies.
54;May 29, 2020;Trump Speaks on China. Markets Rise;The latest on stock market and business news during the coronavirus outbreak.
55;May 29, 2020;Google Rescinds Offers to Thousands of Contract Workers;The company made the cost-cutting move as it navigates a slump in advertising created by the pandemic.
56;May 29, 2020;Forget Swooshes and V’s. The Economy’s Future Is a Question Mark.;Is it a V, an L or a W? Economists are giving up on assigning a letter to the wildly uncertain recovery that lies ahead.
57;May 29, 2020;A Trump vs. Twitter Week;It’s a pandemic, protests against police brutality are gripping the country, and the president of the United States and Twitter are battling it out.
58;May 30, 2020;Twitter Had Been Drawing a Line for Months When Trump Crossed It;Inside the company, one faction wanted Jack Dorsey, Twitter’s chief, to take a hard line against the president’s tweets while another urged him to remain hands-off.
59;May 30, 2020;In Lockdown, a Neighborhood Opens Up;Grab a hyperlocal bakery loaf and a copy of the kids’ newspaper, and we can discuss over stoop cocktails.
60;June 1, 2020;Facebook Employees Stage Virtual Walkout to Protest Trump Posts;While Twitter started labeling some of the president’s inflammatory messages, Facebook’s chief executive, Mark Zuckerberg, has said his company should leave them alone.
