;date;title;summary
0;May 31, 2015;Motorola’s Antitrust Lawsuit May Head to Top Court;Years after the mobile device company was a corporate victim of a price-fixing scheme, the Supreme Court might take up the case.
1;June 1, 2015;Intel Agrees to Buy Altera for $16.7 Billion;The deal would be the latest in a wave of consolidation as chip makers look to increase their scale and product offerings.
2;June 2, 2015;Instagram to Open Its Photo Feed to Ads;The mobile photo sharing service, which has been mostly ad-free, is opening its feed to all advertisers and allowing them to target its users demographically.
3;June 3, 2015;Spotify Wants Listeners to Break Down Music Barriers;Spotify says that because online streaming services let users listen to anything they want, people are increasingly breaking away from rigid genres.
4;June 3, 2015;Yahoo Wins Rights to Live Stream Bills-Jaguars N.F.L. Game;The company said that it had struck a deal with the National Football League to host the first free, live global webcast of a regular-season game, which will be played in London on Oct. 25.
5;June 3, 2015;Europe’s Next Generation of Venture Capital Funds;A new generation of venture capitalists are betting that their local knowledge and industry expertise can still find the latest start-ups hoping to compete with American rivals.
6;June 3, 2015;SoftBank Invests $1 Billion in Coupang, a Korean E-Commerce Start-Up;In one of the biggest investments into a privately held tech company this year, SoftBanks has put $1 billion into the Korean e-commerce start-up Coupang.
7;June 3, 2015;Changing the Look of Excel;Microsoft Excel provides for changes in the typeface, point size and other characteristics of files that a user creates.
8;June 3, 2015;Upload the Pictures, and Let Google Photos Do the Rest;Take all the photos you want, back them up automatically into the cloud and use Google’s image search abilities to find them later.
9;June 3, 2015;Apple Takes On a Market Full of Streaming Services;The company will be entering a crowded market, but its size and reach will be to its advantage.
10;June 3, 2015;App Smart | Stream Music For Free;There are plenty of great streaming music services that you can already try, often for free, and while the big players are jockeying to dominate the market, now is a great time to experiment.
11;June 3, 2015;Video Feature: Streaming Music Apps for a Variety of Tastes;As Apple prepares to enter the fray, it’s a good time to assess the free and paid services that Spotify, Rdio and others have to offer.
12;June 3, 2015;An Early Twitter Investor Calls for Change;The critique by Chris Sacca increases the pressure on Dick Costolo, the chief executive, on the same day Mr. Costolo faced questions from shareholders.
13;June 3, 2015;Computer Scientists Are Astir After Baidu Team Is Barred From A.I. Competition;The team from China’s leading search engine was disqualified when it was discovered it had broken rules in a way that could give it an advantage in the competition.
14;June 4, 2015;Sacca’s Tweaks for Twitter;In a recent note, Chris Sacca, a former Google employee and early investor in Twitter, criticizes the social media company and recommends changes.
15;June 4, 2015;Sharing Data, but Not Happily;Many Americans do not think the trade-off of their data for personalized services, giveaways or discounts is a fair deal, a University of Pennsylvania study found.
16;June 4, 2015;Beware a Bluff From Dish’s Poker-Playing Boss;Charles Ergen would be making a bold bet by merging his satellite operator with T-Mobile US. Yet he is also known for playing his cards very carefully.
17;June 5, 2015;Selling E-Commerce While Avoiding Amazon;Amazon is by far the largest e-commerce player. Six hundred smaller fry gathered in Chicago this week to work out strategies for competing against or even cooperating with the Seattle giant.
18;June 5, 2015;California Farmers Dig Deeper for Water, Sipping Their Neighbors Dry;Those who can afford to are drilling deeper, hoping to tap new aquifers, but those new wells threaten to arouse long-dormant water disputes in the state.
19;June 7, 2015;HackerOne Connects Hackers With Companies, and Hopes for a Win-Win;HackerOne’s co-founders are betting they can persuade the world’s hackers to spend their free time solving security’s problems, not causing them, and that businesses will pay them a bounty for their service.
20;June 8, 2015;Apple Music Is Unveiled, Along With Operating System Upgrades;The new streaming service, which will cost $10 a month, will compete with Spotify and be offered alongside an overhauled iTunes Radio.
21;June 8, 2015;Square Unveils Mobile Wallet-Friendly Credit Card Reader;Square announced a new credit card reader that accepts mobile wallets like Apple Pay.
22;June 8, 2015;Looking for Robots That Will Cooperate, Not Terminate;A Darpa robotic competition in California focused on machines that can perform ordinary tasks that were the furthest thing from the killer automatons of science fiction.
23;June 9, 2015;In Germany, Grass-Roots Opposition to a European-U.S. Trade Deal;While Germany is one of the countries most likely to benefit from such a deal, polls show that the country has among the strongest public opposition.
24;June 9, 2015;European Cloud Companies Play Up Privacy Credentials;A growing number of European cloud computing companies are trying to take on American competitors like Google and Microsoft by playing up their privacy credentials
25;June 10, 2015;Microsoft Picks Unusual Place to Make Its Giant Surface Hub: The U.S.;The touch-screen computer, which costs up to $20,000, will be manufactured in Oregon, joining a rare group of tech products that are made in America.
26;June 10, 2015;Gemvara, an Online Jeweler, Branches Into Resetting;The five-year-old custom jewelry design company began the service in January, to overwhelming demand.
27;June 10, 2015;What Apple’s Tim Cook Overlooked in His Defense of Privacy;When Apple’s chief executive gave a speech on the tech industry’s privacy practices, he failed to fairly explore the benefits of free, ad-supported services.
28;June 10, 2015;Shop Locally, Download Globally;Some independent booksellers gain a portion of e-book sales through partnerships with bigger e-bookstores like Kobo and Amazon Source.
29;June 10, 2015;Britain Offers Itself as a Proving Ground;With support from the British government, three pilot projects have started to test the rules and develop the hardware for autonomous vehicles.
30;June 10, 2015;Options for Simplifying the Commute;GPS, the wireless Internet and smartphones have brought back the principle of dial-a-ride, a short-lived service born in Silicon Valley in the 1970s that was a victim of its success.
31;June 10, 2015;Tipping Point in Transit;The future of driving is in many ways already here, and the changes are coming fast and furious. Many could see lower costs and more convenience, but not everyone may benefit.
32;June 10, 2015;Sidewalk Labs, a Start-Up Created by Google, Has Bold Aims to Improve City Living;Google’s Sidewalk Labs will pursue technologies to cut pollution, curb energy use, streamline transportation and reduce the cost of city living.
33;June 11, 2015;Amazon’s E-Books Business Investigated by European Antitrust Regulators;The investigation is the latest hurdle for Amazon and other American tech giants as European policy makers pursue antitrust, tax and other inquiries.
34;June 11, 2015;Top Executive at Kleiner Perkins to Make Rare Silicon Valley Shift, to Menlo Ventures;Matt Murphy, who had close connections to Google and other prominent tech investments, is joining Menlo Ventures as a managing director.
