;date;title;summary
0;Dec. 2, 2018;This Week in Business: G.M. Idles Plants, and Sundar Pichai Goes to Washington;The week started with a surprise in the manufacturing sector and ended with new Silicon Valley revelations.
1;Dec. 2, 2018;Marketing Through Smart Speakers? Brands Don’t Need to Be Asked Twice;Google Home and Amazon Echo don’t carry paid advertising, so companies are trying more creative ways of using them to reach consumers.
2;Dec. 3, 2018;The Race Is On to Protect Data From the Next Leap in Computers. And China Has the Lead.;China is investing in quantum encryption that could be far tougher to crack than today’s security methods. Now the United States is trying to catch up.
3;Dec. 3, 2018;Oath Agrees to $5 Million Settlement Over Children’s Privacy Online;The New York attorney general said the media company’s online advertising business was violating the federal children’s privacy law known as Coppa.
4;Dec. 4, 2018;Retire Sooner and Travel More, for Less;Members of the retire-early movement talk about ways to maximize points, find deals on hotels and eat for less while on the road.
5;Dec. 4, 2018;The New 50s: Far From Retirement;Many workers in their 50s are not ready to hang it up but are looking to start something new.
6;Dec. 5, 2018;Uber’s Self-Driving Cars Are Set to Return in a Downsized Test;Eight months after a fatal crash, the vehicles are expected to be back on Pittsburgh streets within a few weeks, but safety questions remain.
7;Dec. 6, 2018;DealBook Briefing: Inside the Emails Facebook Never Thought You’d Read;Hundreds of pages of documents published by the British government provide a rare glimpse into how the social network functions.
8;Dec. 6, 2018;Lyft, Racing Uber Toward I.P.O., Takes a Crucial Step;The ride-hailing company said it had confidentially filed a draft registration statement with the Securities and Exchange Commission.
9;Dec. 6, 2018;A.I. as Talent Scout: Unorthodox Hires, and Maybe Lower Pay;A form of artificial intelligence is being used to surface job candidates with the attributes of a perfect fit, even without conventional credentials.
10;Dec. 7, 2018;Google Hearing to Preview Democrats’ Strategy on Big Tech;Sundar Pichai, the chief executive of Google, will testify before Congress on Tuesday. Democratic lawmakers are expected to target the industry next year.
11;Dec. 7, 2018;Uber Is Said to File for an I.P.O. as It Races Lyft to a Public Debut;The offering, which is expected to be one of the biggest ever, puts the ride-hailing service neck and neck with its rival Lyft in a race to the public markets.
12;Dec. 9, 2018;In Britain, a Team Effort to Help Local News Survive;To support local newspapers and news sites, the salaries of nearly 150 reporters are being paid through Britain’s TV license fee, which finances the BBC.
13;Dec. 10, 2018;How The Times Analyzed Location Tracking Companies;Reporters tested apps made for both Android and iOS, evaluated app code and examined the companies receiving the data.
14;Dec. 10, 2018;How to Stop Apps From Tracking Your Location;Hundreds of apps can follow your movements and share the details with advertisers, retailers and even hedge funds. Here’s how to limit the snooping.
15;Dec. 10, 2018;Your Apps Know Where You Were Last Night, and They’re Not Keeping It Secret;Dozens of companies use smartphone locations to help advertisers and even hedge funds. They say it’s anonymous, but the data shows how personal it is.
16;Dec. 10, 2018;Amazon’s Homegrown Chips Threaten Silicon Valley Giant Intel;The retailer is now making its own server chips. It’s the latest sign that big internet outfits are willing to cut out longtime suppliers.
17;Dec. 11, 2018;Sundar Pichai, Google’s C.E.O., Testifies on Capitol Hill;Google’s chief is getting his turn under the Washington bright lights, appearing before lawmakers to explain his company’s practices, which some critics say are biased against conservatives.
18;Dec. 11, 2018;Unrest in France Hinders Macron’s Push to Revive Economy;The Yellow Vest protests roiling the country have cost businesses billions of euros and threatened President Emmanuel Macron’s strategy for growth.
19;Dec. 11, 2018;DealBook Briefing: Investors May Be Overlooking Their Own Discrimination;A Morgan Stanley study suggests that investors think their financing decisions are balanced, but in reality they’re skewed.
20;Dec. 11, 2018;Google’s Pichai Faces Privacy and Bias Questions in Congress;A House committee grilled Sundar Pichai, the chief executive of Google, about a variety of issues, including worries about personal data and complaints about search results.
21;Dec. 12, 2018;Is Tech Too Easy to Use?;The tech industry’s obsession with “frictionless” design has been the source of innumerable problems.
22;Dec. 12, 2018;DealBook Briefing: How Trump Plans to Keep China In Line on Trade;The Trump administration, believing China will struggle to change its stance over trade, plans to hammer home the idea that it wants strong commitments.
23;Dec. 12, 2018;Yes, You Can Be an Ethical Tech Consumer. Here’s How.;Products that we enjoy continue to create privacy, misinformation and workplace issues. We can do better at getting the industry to do better.
24;Dec. 13, 2018;In France, School Lessons Ask: Which Twitter Post Should You Trust?;To combat online misinformation and radicalization, one of the world’s largest national internet literacy efforts is teaching students how to spot junk information.
25;Dec. 13, 2018;Apple to Add $1 Billion Campus in Austin, Tex., in Broad U.S. Hiring Push;The technology giant said it would also establish new 1,000-worker operations in Culver City, Calif., San Diego and Seattle, and add hundreds of jobs in several other cities.
26;Dec. 13, 2018;DealBook Briefing: Trump’s Strong-Arming of China Might Be Working;American officials are wielding tariffs to extract concessions that Beijing has long delayed or rejected altogether.
27;Dec. 13, 2018;Tech Stocks Often Rise and Fall Together. They Shouldn’t.;Companies like Facebook, Apple, Amazon, Netflix, Google and Microsoft aren’t the same. Investors shouldn’t act as though they are, our columnist says.
28;Dec. 13, 2018;Chase for Talent Pushes Tech Giants Far Beyond West Coast;Amazon and Google are aggressively opening offices outside of their Silicon Valley and Seattle hometowns. On Thursday, Apple said it would invest $1 billion in Austin, Tex.
29;Dec. 14, 2018;New Zealand Rebukes Google for Airing Name of Suspect in Backpacker’s Killing;A court had suppressed the man’s name under a legal provision meant to guarantee fair trials for defendants in the country.
30;Dec. 14, 2018;The Week in Tech: Sundar Pichai Has a Chat With Congress;Silicon Valley and Washington operate in their own bubbles. Is there any hope of tech executives and lawmakers understanding one another?
31;Dec. 16, 2018;The Week in Business: Apple Expands in Austin, and the Fed Gears Up on Interest Rates;It's back to the drawing board on Britain’s floundering Brexit attempt. And the border wall is a sticking point in talks on continued funding of the U.S. government.
32;Dec. 16, 2018;Facebook’s Version of YouTube Takes Shape With Pranksters, Magicians and Cartoons;The tech giant sees Facebook Watch, with its rising number of videos from internet stars, as a key to future growth.
33;Dec. 16, 2018;Tech Workers Got Paid in Company Stock. They Used It to Agitate for Change.;Workers at tech companies like Amazon are starting to use the stock grants that they were paid to turn the tables on their employers.
34;Dec. 16, 2018;Digital Data Gives Billboard Owners More Reason to ‘Love a Good Traffic Jam’;The average one-way trip for commuters in the U.S. is close to a half-hour — plenty of time for marketers to target them in new ways through old media.
35;Dec. 17, 2018;DealBook Briefing: Corporate America Says It Often Apologizes for Trump;A survey of 134 business leaders reveals what’s eating America’s C.E.O.s right now.
36;Dec. 17, 2018;New Google Campus Accelerates Tech’s March Into New York;Google said it planned a $1 billion campus just south of the West Village that would enable it to double its local work force over a decade.
37;Dec. 17, 2018;Facebook, Twitter and YouTube Withheld Russia Data, Reports Say;Reports to the Senate on Russian interference in the 2016 election and beyond criticized the tech companies for failing to disclose important details.
38;Dec. 18, 2018;A Toaster on Wheels to Deliver Groceries? Self-Driving Tech Tests Practical Uses;With driverless passenger services slow to become realities, the autonomous industry is casting about for ways to profitably use its technology.
39;Dec. 18, 2018;DealBook Briefing: Did Big Tech Lie to Congress About Russian Interference?;A pair of new reports suggest that social media platforms may have misrepresented or evaded in some of the statements they made to lawmakers.
40;Dec. 18, 2018;France, Not Waiting for European Union, to Tax U.S. Tech Firms as ’19 Starts;With the ‘Yellow Vest‘ movement widening the country’s budget shortfall, the French government is accelerating a plan to hit companies like Apple, Facebook and Google with a big bill.
41;Dec. 18, 2018;As Facebook Raised a Privacy Wall, It Carved an Opening for Tech Giants;Internal documents show that the social network gave Microsoft, Amazon, Spotify and others far greater access to people’s data than it has disclosed.
42;Dec. 19, 2018;How to Rescue, Repair and Revive Old Family Photos;If the march of time is eroding your personal picture archive, give your beloved images new life.
43;Dec. 19, 2018;Google’s Marketing of Children’s Apps Misleads Parents, Consumer Groups Say;A coalition of 22 consumer groups says children’s apps in the Google Play store show inappropriate ads and violate kids’ privacy.
