;date;title;summary
0;Dec. 1, 2017;Farhad and Mike’s Week in Tech: Sex Scandals and Silicon Valley;In this week’s tech newsletter, Farhad Manjoo and Mike Isaac delve into sex scandals reaching Google and Uber’s latest legal troubles.
1;Dec. 2, 2017;Tax Bill Offers Last-Minute Breaks for Developers, Banks and Oil Industry;In Senate Republicans’ mad dash to rewrite the tax code, lawmakers added loopholes for the wealthy and tightened deductions for middle-income workers.
2;Dec. 3, 2017;Company Markets Itself to the Newly Divorced With a Ring to Sell;Worthy, which auctions used jewelry on its website, hopes to attract women with a message that the cash can set them on the road to personal freedom.
3;Dec. 4, 2017;The Deal Makers on CVS’s Bid for Aetna: DealBook Briefing;An army of firms helped put together the year’s biggest announced merger, with at least $120 million in potential fees to go around for the banks alone.
4;Dec. 4, 2017;Swapping Your Old Phone for Cash or Credit;Instead of tossing your previous phone in a drawer, you might be able to turn it in for a small profit or donate it to someone in need.
5;Dec. 4, 2017;Where Silicon Valley Is Going to Get in Touch With Its Soul;The Esalen Institute, a storied hippie hotel in Big Sur, Calif., has reopened with a mission to help technologists who discover that “inside they’re hurting.”
6;Dec. 4, 2017;<div>Are Hotel Concierges Endangered by Apps? Don’t Bet on It</div>;The concierge may use digital tools, but as one veteran says, “There is no app that can get to know you quite like the human app.”
7;Dec. 4, 2017;A Retreat From the World They’re Disrupting;Humans build the machines that power Silicon Valley. Nellie Bowles, a native San Franciscan, reports for The Times on their goals, anxieties, ideas and agendas.
8;Dec. 4, 2017;YouTube Hiring More Humans to Train Computers to Police the Site;The online video platform is scrambling to stamp out problematic videos. This time, it’s videos that are inappropriate for children.
9;Dec. 4, 2017;From Bezos to Walton, Big Investors Back Fund for ‘Flyover’ Start-Ups;The fund started by an AOL co-founder and an author has attracted a Who’s Who of American business to invest in the heartland’s entrepreneurs.
10;Dec. 5, 2017;Google Missed Out on China. Can It Flourish in India?;As major companies chase India’s new internet users, Google is changing core products to work better on low-end smartphones and use less data.
11;Dec. 5, 2017;Deutsche Bank Said to Have Been Subpoenaed by Mueller: DealBook Briefing;The special counsel investigating Russian interference in last year’s special election has asked for information on the bank’s dealings with the Trump family.
12;Dec. 5, 2017;Playing Old Movies on New Screens;Newer devices may balk at some ancient video formats, but you can often get them rolling with the right software.
13;Dec. 5, 2017;Inside China’s Big Tech Conference, New Ways to Track Citizens;The technologies for tracking citizens, and their wide acceptance in China, were on display at the World Internet Conference.
14;Dec. 6, 2017;The Hidden Player Spurring a Wave of Cheap Consumer Devices: Amazon;Numerous electronics brands have sprung up offering inexpensive gadgets. Here’s how Amazon enables them, and how other brands may copy that success.
15;Dec. 6, 2017;DealBook Briefing: A Fox Deal May Keep Iger at Disney Longer;The Walt Disney Company may extend chief executive Robert Iger’s tenure if it completes a purchase of the entertainment assets of 21st Century Fox.
16;Dec. 6, 2017;What Tech Tools Frequent Travelers Should Always Pack;You should always have a portable battery to charge your phone. But other must-haves are not as obvious, says Lucas Peterson, The Times’s Frugal Traveler.
17;Dec. 6, 2017;Bitcoin Hasn’t Replaced Cash, but Investors Don’t Care;Investors have lifted Bitcoin past $13,000, likening it to gold as a place to store money. Early followers who hoped for a faster, cheaper way to pay for things are looking elsewhere.
18;Dec. 7, 2017;Inside the Opposition to a Net Neutrality Repeal;Fight for the Future, a scrappy 10-person nonprofit, has helped lead the uproar against changes to internet rules, including hundreds of protests on Thursday.
19;Dec. 8, 2017;An Alexa Holdout Wants to Know Who’s Listening;Some 24 million so-called smart speakers are expected to sell this year. But not all of us are ready to share our thoughts.
20;Dec. 8, 2017;Farhad and Mike’s Week in Tech: The Big Bitcoin Boom;In this week’s tech newsletter, our correspondents discuss Bitcoin, Amazon and the tech industry’s ongoing problems with sexual harassment.
21;Dec. 10, 2017;Net Neutrality’s Holes in Europe May Offer Peek at Future in U.S.;Telecom operators have been pushing boundaries in Europe, where loopholes have left net neutrality regulations weaker than intended.
22;Dec. 11, 2017;Icahn Picks New Board Fight With Xerox: DealBook Briefing;The activist investor launched his second campaign to change the management of the copy-machine maker.
23;Dec. 11, 2017;The Alt-Right Created a Parallel Internet. It’s an Unholy Mess.;Hard-right activists, censored and banned by Twitter and Facebook, tried to create their own digital services. But they appear to have hit obstacles.
24;Dec. 12, 2017;How Alabama’s Election Could Reshape Washington’s Policy Battles: DealBook Briefing;Reducing Republicans’ majority in the Senate by just one seat may have big effects on debates about health care, infrastructure, taxes and more.
25;Dec. 12, 2017;Protecting Your Data When Using Browser Extensions;Those useful little programs that expand your web browser’s powers sometimes require a lot of access to your personal information.
26;Dec. 12, 2017;Net Neutrality Protests Move Online, Yet Big Tech Is Quiet;While some technology companies used their websites to proclaim support for equal internet access, some of the giants, including Google and Microsoft, were lying low.
27;Dec. 12, 2017;Disney’s Deal for 21st Century Fox Is Said to Be Close;The $60 billion-plus acquisition would give Disney control of most of Rupert Murdoch’s movie and TV empire, and give a serious boost to the company’s streaming ambitions.
28;Dec. 13, 2017;How 2017 Became a Turning Point for Tech Giants;For the first time, big tech companies began to accept responsibility in 2017 for how their platforms affect the world. The scope of that change remains unclear.
29;Dec. 13, 2017;Google, Looking to Tiptoe Back Into China, Announces A.I. Center;The move also nods to the country’s growing strengths in artificial intelligence, and is the latest A.I. effort set up by a Western tech company in the country.
