;date;title;summary
0;May 1, 2016;New York City Casts a Net to Catch the Next Big Start-Up;A nonprofit, Tech:NYC, aims to make New York more appealing to start-ups, big tech companies and venture firms.
1;May 2, 2016;Daily Report: New York Searches for Its Anchor Tech Company;Silicon Valley has a long list of big companies that have become the centerpiece of the local economy. The Big Apple is looking for that tech giant.
2;May 3, 2016;Women in Tech Band Together to Track Diversity, After Hours;Eight women formed Project Include, a nonprofit effort to collect and share data, hoping to diversify the rank-and-file in Silicon Valley’s tech companies.
3;May 3, 2016;Google to Get Fiat Chrysler Minivans for Self-Driving Tests;The partnership will equip 100 vehicles with technology to advance and expand Google’s development effort.
4;May 4, 2016;IBM Wants Everyone to Try a Quantum Computer;The tech giant will offer online tutorials, visual simulations and a gamelike system that will parcel out access to a modest quantum computer.
5;May 4, 2016;Moore’s Law Running Out of Room, Tech Looks for a Successor;Unsure how long chip memory can reliably be doubled, an engineering group plans to create a new forecasting system for semiconductor innovation.
6;May 4, 2016;Apple, Set to Move to Its Spaceship, Should Try More Moonshots;To thrive in the next era of tech, one likely to be driven by data-rich online services, Apple needs to take a series of bigger, bolder risks.
7;May 4, 2016;Comparing Mobile Wallets From Apple, Google and Samsung;In the last two years, Apple, Samsung and Google have released mobile wallets, and we decided to test how well these new technologies work. Here’s a rundown of how the mobile wallets compare and where they are accepted.
8;May 4, 2016;Why Apple Pay and Other Mobile Wallets Beat Chip Cards;To fight fraud, the retail industry has shifted away from traditional magnetic credit cards in favor of cards with embedded computer chips. They’re slow.
9;May 5, 2016;NRG Steps Back From Alternative Energy Ventures in Cost-Cutting Effort;The company will pare its presence in its electric vehicle charging business, and its home solar division will sell future customer agreements it originates to two partners.
10;May 6, 2016;Keeping Current With Google Chrome;Google’s browser automatically updates the Adobe Flash plug-in for you, but you can check your version or disable Flash yourself.
11;May 6, 2016;Fiat Chief on New Innovation Ideas;Sergio Marchionne, the chief executive of Fiat Chrysler, and a union official spoke about their new Pacifica minivan, their partnership with Google and government regulation.
12;May 6, 2016;Head of Fiat Chrysler Sees Self-Driving Cars in Five Years, Not 20;Under a partnership unveiled this week, Fiat Chrysler will make about 100 modified Pacificas that Google will outfit with sensors and computers it has developed.
13;May 7, 2016;Farhad and Mike’s Week in Tech: The Technology We Love to Hate;Why it’s so hard to find a charging cable that lasts more than few months, and other gripes about tech.
14;May 7, 2016;Podcasts Surge, but Producers Fear Apple Isn’t Listening;The podcast has soared in popularity. But there’s not much money in it for Apple, the genre’s creator, leaving many in the community feeling neglected.
15;May 8, 2016;Google Goes Back to Court Over Android Code and May Face Fines in Russia;As Oracle continues to sue Google for $8.8 billion, quarterly earnings reports are expected for Disney, Credit Suisse and Macy’s.
16;May 8, 2016;Police and Tech Giants Wrangle Over Encryption on Capitol Hill;Behind-the-scenes lobbying heightens in this next phase of a divide over digital security that erupted when Apple refused to help unlock an iPhone used in a mass shooting.
17;May 8, 2016;Liquor Brands Aim to Entice With Signature Experiences;High-end liquor companies are investing in curated tours, invitation-only clubs and sweeping ads to appeal to younger drinkers.
18;May 9, 2016;The Clash of Privacy, Legislation and Software;The technology industry and government officials have staked out their turf over a draft encryption bill. Agreement does not appear to be in the cards.
19;May 10, 2016;Top 10 Hedge Fund Chiefs Took Home a Combined $10.07 Billion;JPMorgan paid its C.E.O. $27 million in 2015. In another Wall Street universe, the hedge fund manager Ken Griffin made $1.7 billion.
20;May 10, 2016;Alphabet Chairman Testifies in Oracle Suit Against Google;The right to use programming language is at issue in the latest round of a case filed nearly six years ago.
21;May 11, 2016;E.U. Regulators Block Merger of British Mobile Carriers on Competition Grounds;The acquisition of O2 by Hutchison Whampoa, the owner of the operator Three, would have harmed consumer choice, the bloc’s antitrust chief said.
22;May 11, 2016;Saving a Web Page as a PDF;Windows and Mac OS X include tools to convert pages in the web browser to PDF files on the computer.
23;May 11, 2016;Oracle’s Suit Against Google Digs Up Old Bones;The Java programming language was one of the most important tools of the late-1990s dot-com boom. Now it is the key to a court fight between tech giants.
24;May 11, 2016;Google to Ban All Payday Loan Ads;The web giant said the move was to protect its users from such lending, which often leads to unaffordable repayment terms and financial harm.
25;May 11, 2016;Pentagon Turns to Silicon Valley for Edge in Artificial Intelligence;Secretary of Defense Ashton B. Carter takes his bridge-building message to Silicon Valley despite skepticism among some in the tech community.
26;May 12, 2016;Emojis Would Show Women Doing More Than Painting Their Nails;Google wants to add 13 emojis to represent women, and men too, in professional roles in business, health care, factory work and farming.
27;May 12, 2016;Changing Android’s Default Apps;If you want to use something other than Google’s own Chrome browser as your go-to app, you can choose a different program.
28;May 12, 2016;Artificial Intelligence for the Next War;The Pentagon is trying to build bridges with Silicon Valley as it looks to build a new generation of smart weapons.
29;May 13, 2016;Apple’s $1 Billion Investment May Ease Ties With China;The investment in the Didi Chuxing ride-hailing app enlarges the American giant’s Asian footprint as it comes under greater scrutiny from Beijing.
30;May 13, 2016;Alan Rusbridger, Once Guardian’s Celebrated Editor, Severs Ties With It;Mr. Rusbridger, lauded as one of the finest journalists of his generation, gave up a plum role at the organization’s parent after a falling out with its new leaders.
31;May 13, 2016;Facebook and the Problem With News Online;It’s not easy for a computer, or a human, to decide what is an unbiased take on the world.
32;May 14, 2016;New Crowdfunding Rules Let the Small Fry Swim With Sharks;Starting Monday, new regulations will permit anyone, not just the moneyed, to invest in small companies in exchange for a stake in the business.
33;May 14, 2016;Start-Ups Embrace Arbitration to Settle Workplace Disputes;As new companies grow, they are relying on a tool used by big corporations to shield themselves from potentially expensive class-action court cases.
34;May 15, 2016;Warren Buffett and Dan Gilbert Unite in Bid to Acquire Yahoo;The unusual presence of Mr. Gilbert and Mr. Buffett in the bidding suggest just how far Yahoo and its advisers have cast their net to find potential buyers.
35;May 16, 2016;China Quietly Targets U.S. Tech Companies in Security Reviews;A committee with ties to the country’s military and security agencies is requiring foreign tech giants like Apple to answer questions about encryption and data storage.
36;May 16, 2016;Twitter Appoints Debra Lee, Adding Diversity to Its Board;Ms. Lee is the first African-American director at Twitter, which been criticized for a lack of representation of varied ethnic groups.
37;May 17, 2016;Want to Buy a Self-Driving Car? Big-Rig Trucks May Come First;A start-up has its sights on the long-haul freeway driving that is the bread and butter of the commercial trucking industry.
38;May 17, 2016;Saving Your Data Allowance;Streaming audio and video apps turn your phone or tablet into a mobile entertainment center, but can chew up your monthly service plan.
39;May 17, 2016;Google to Introduce Its Voice-Activated Home Device;Apple has Siri, Amazon has its Echo, and now Google will introduce its virtual agent, Google Home.
40;May 18, 2016;Nokia Phones May Find Life After Microsoft;Foxconn, the Taiwanese technology giant, and HMD Global, a Finnish company, have signed a licensing agreement to revive the brand.
41;May 18, 2016;Facebook’s Conservative Charm Offensive;The social network, rebutting allegations that it suppressed conservative articles, is meeting with Republican pundits and politicians to explain its process.
42;May 18, 2016;Artificial Intelligence Makes the Phone a Personal Assistant;Smartphone apps offer a hint of the possible uses for emerging artificial intelligence technology.
43;May 18, 2016;Google Home vs. Amazon Echo. Let the Battle Begin.;Here’s how Google’s voice-controlled, Internet-connected speaker compares with Amazon’s popular Echo device.
44;May 18, 2016;Google Home: A Voice-Activated Device That Already Knows You;A virtual assistant designed to compete with the Echo from Amazon and other artificial intelligence devices coming from Microsoft, Apple and Facebook.
45;May 18, 2016;5 More Bankers Leave Credit Suisse as Exodus Accelerates;A major reason for the exodus was concern that investment banking had become less of a priority.
46;May 19, 2016;In China, Government Workers Push Rosy, Diverting Views Online;A new study focuses on China’s “Fifty Cent Party,” who tout Beijing’s views online and make up a major part of its effort to control its image.
47;May 19, 2016;Google Appeals French Privacy Ruling;The search giant said it continued to resist France’s demand that Europe’s so-called right to be forgotten rules should be applied globally.
48;May 19, 2016;Silicon Valley’s Artificial Intelligence Marathon Is On;Google’s Home device puts it in the race to become the go-to company for A.I. — along with several rivals.
49;May 19, 2016;When YouTube Pranks Break the Law;Pranksters fake terror attacks and other crimes, and sometimes land in jail. But the videos continue to be a popular draw.
50;May 19, 2016;In Audi’s Virtual Cockpit, Technology Is Your Co-Pilot;Audi is the first carmaker to offer the screen, which replaces traditional dials like the speedometer, and can also show maps, radio and other functions.
51;May 19, 2016;Oracle-Google Dispute Goes to Heart of Open-Source Software;A trial in a San Francisco federal court centers on 11,000 out of 13 million lines of software code in Google’s Android operating system.
52;May 20, 2016;A Cheery Elevator Ride With Larry Page;The software giant Oracle says the search giant Google infringed on its copyrights. That brought Google’s boss to the courtroom Thursday morning.
53;May 20, 2016;Review: The Rise of the ‘Matchmakers’ of the Digital Economy;Three books explore the business models of companies that serve as multisided platforms that connect advertisers to consumers.
54;May 20, 2016;Facebook ‘Trending’ List Skewed by Individual Judgment, Not Institutional Bias;Facebook employees weren’t directed to squelch conservative news on the site’s Trending Topics, nor would that be easily accomplished by a staff member who wished to do so.
